last,first,pos,num,comb,hits,oz_hits,nz_hits,dz_hits,p1_hits,p2_hits,p3_hits,ot_hits,5v5_hits,ev_hits,pp_hits,sh_hits,hits_taken,oz_hits_t,nz_hits_t,dz_hits_t,p1_hits_t,p2_hits_t,p3_hits_t,ot_hits_t,5v5_hits_t,ev_hits_t,pp_hits_t,sh_hits_t,g_hit_5_5v5,b_hit_5_5v5,g_hit_10_5v5,b_hit_10_5v5,g_hit_5_ev,b_hit_5_ev,g_hit_10_ev,b_hit_10_ev,g_hit_5_pp,b_hit_5_pp,g_hit_10_pp,b_hit_10_pp,g_hit_5_sh,b_hit_5_sh,g_hit_10_sh,b_hit_10_sh
VATRANO,FRANK,C,72,FRANK VATRANO,61.0,46.0,5.0,10.0,23.0,19.0,19.0,0.0,60.0,61.0,0.0,0.0,52.0,5.0,1.0,46.0,16.0,19.0,16.0,1.0,48.0,51.0,1.0,0.0,60.0,0.0,60.0,0.0,61.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOBROVSKY,SERGEI,G,72,SERGEI BOBROVSKY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORNQVIST,PATRIC,R,72,PATRIC HORNQVIST,160.0,120.0,4.0,36.0,75.0,55.0,30.0,0.0,149.0,150.0,10.0,0.0,192.0,33.0,7.0,152.0,71.0,61.0,60.0,0.0,169.0,175.0,17.0,0.0,149.0,0.0,149.0,0.0,150.0,0.0,150.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
KOSMACHUK,SCOTT,R,72,SCOTT KOSMACHUK,7.0,3.0,1.0,3.0,2.0,3.0,2.0,0.0,7.0,7.0,0.0,0.0,12.0,3.0,0.0,9.0,5.0,4.0,3.0,0.0,12.0,12.0,0.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOFFOLI,TYLER,C,73,TYLER TOFFOLI,70.0,61.0,3.0,6.0,21.0,27.0,22.0,0.0,67.0,68.0,0.0,2.0,90.0,23.0,3.0,64.0,32.0,35.0,22.0,1.0,76.0,79.0,10.0,1.0,67.0,0.0,67.0,0.0,68.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
EMELIN,ALEXEI,D,74,ALEXEI EMELIN,256.0,200.0,12.0,44.0,89.0,91.0,76.0,0.0,233.0,240.0,1.0,15.0,184.0,46.0,5.0,133.0,62.0,66.0,56.0,0.0,172.0,176.0,0.0,8.0,233.0,0.0,232.0,1.0,240.0,0.0,239.0,1.0,1.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0
DEMELO,DYLAN,D,74,DYLAN DEMELO,39.0,26.0,1.0,12.0,15.0,18.0,6.0,0.0,37.0,38.0,0.0,1.0,75.0,15.0,4.0,56.0,27.0,28.0,20.0,0.0,71.0,72.0,2.0,1.0,37.0,0.0,37.0,0.0,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
SLAVIN,JACCOB,D,74,JACCOB SLAVIN,41.0,30.0,0.0,11.0,14.0,10.0,15.0,2.0,33.0,35.0,0.0,6.0,106.0,13.0,3.0,90.0,35.0,41.0,27.0,3.0,99.0,104.0,1.0,1.0,33.0,0.0,33.0,0.0,35.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0
CARLSON,JOHN,D,74,JOHN CARLSON,46.0,37.0,1.0,8.0,16.0,15.0,15.0,0.0,42.0,43.0,2.0,1.0,58.0,17.0,1.0,40.0,15.0,20.0,22.0,1.0,53.0,56.0,0.0,2.0,42.0,0.0,42.0,0.0,43.0,0.0,43.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
BOROWIECKI,MARK,D,74,MARK BOROWIECKI,271.0,207.0,9.0,55.0,95.0,93.0,82.0,1.0,246.0,246.0,0.0,25.0,97.0,19.0,1.0,77.0,38.0,32.0,27.0,0.0,92.0,94.0,1.0,2.0,246.0,0.0,246.0,0.0,246.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,0.0
KING,DWIGHT,L,74,DWIGHT KING,73.0,60.0,2.0,11.0,38.0,18.0,17.0,0.0,70.0,70.0,2.0,1.0,56.0,12.0,1.0,43.0,23.0,14.0,19.0,0.0,54.0,55.0,1.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,70.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
REAVES,RYAN,R,75,RYAN REAVES,206.0,165.0,9.0,32.0,94.0,71.0,41.0,0.0,206.0,206.0,0.0,0.0,59.0,14.0,2.0,43.0,22.0,17.0,20.0,0.0,59.0,59.0,0.0,0.0,206.0,0.0,205.0,1.0,206.0,0.0,205.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHOKHLACHEV,ALEX,C,76,ALEX KHOKHLACHEV,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VANDEVELDE,CHRIS,C,76,CHRIS VANDEVELDE,139.0,102.0,1.0,36.0,58.0,47.0,34.0,0.0,134.0,135.0,1.0,3.0,162.0,40.0,7.0,115.0,68.0,56.0,38.0,0.0,154.0,154.0,2.0,6.0,134.0,0.0,134.0,0.0,135.0,0.0,135.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0
DAUPHIN,LAURENT,C,76,LAURENT DAUPHIN,6.0,3.0,0.0,3.0,3.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,6.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,6.0,6.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
SKJEI,BRADY,D,76,BRADY SKJEI,11.0,10.0,0.0,1.0,7.0,3.0,1.0,0.0,10.0,10.0,0.0,1.0,8.0,2.0,1.0,5.0,4.0,2.0,2.0,0.0,7.0,7.0,0.0,1.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
SUBBAN,P.K.,D,76,P.K. SUBBAN,102.0,76.0,0.0,26.0,30.0,42.0,28.0,2.0,91.0,94.0,3.0,5.0,125.0,25.0,1.0,99.0,48.0,47.0,29.0,1.0,103.0,107.0,12.0,6.0,90.0,1.0,89.0,2.0,93.0,1.0,92.0,2.0,3.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0
DE LEO,CHASE,C,77,CHASE DE LEO,3.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CARTER,JEFF,C,77,JEFF CARTER,89.0,74.0,1.0,14.0,35.0,27.0,27.0,0.0,78.0,80.0,5.0,4.0,72.0,13.0,2.0,57.0,29.0,24.0,16.0,3.0,56.0,60.0,8.0,4.0,78.0,0.0,78.0,0.0,80.0,0.0,80.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0
SGARBOSSA,MICHAEL,C,77,MICHAEL SGARBOSSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLEFBOM,OSCAR,D,77,OSCAR KLEFBOM,21.0,16.0,1.0,4.0,3.0,8.0,9.0,1.0,20.0,21.0,0.0,0.0,53.0,14.0,2.0,37.0,15.0,18.0,20.0,0.0,45.0,46.0,5.0,2.0,20.0,0.0,20.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
