last,first,pos,num,comb,GP,TOI,TOI_5v5
SMITH-PELLY,DEVANTE,R,21,DEVANTE SMITH-PELLY,64.0,786:43,702:35
OKPOSO,KYLE,R,21,KYLE OKPOSO,79.0,1438:15,1125:05
SCEVIOUR,COLTON,C,22,COLTON SCEVIOUR,71.0,899:38,724:28
SHORE,DREW,C,22,DREW SHORE,2.0,27:59,17:58
VARONE,PHIL,C,22,PHIL VARONE,6.0,51:03,50:41
HORCOFF,SHAWN,C,22,SHAWN HORCOFF,59.0,783:46,654:44
LEWIS,TREVOR,C,22,TREVOR LEWIS,75.0,1091:59,916:00
BOYLE,DAN,D,22,DAN BOYLE,74.0,1392:16,1137:25
SHATTENKIRK,KEVIN,D,22,KEVIN SHATTENKIRK,72.0,1614:06,1181:44
SCHENN,LUKE,D,22,LUKE SCHENN,72.0,1265:08,1066:44
REDMOND,ZACH,D,22,ZACH REDMOND,37.0,435:56,423:41
CUNNINGHAM,CRAIG,L,22,CRAIG CUNNINGHAM,10.0,100:50,98:14
SEDIN,DANIEL,L,22,DANIEL SEDIN,82.0,1503:22,1107:45
LARSSON,JOHAN,L,22,JOHAN LARSSON,74.0,1096:39,966:51
SCOTT,JOHN,L,22,JOHN SCOTT,12.0,78:20,74:58
MOUILLIERAT,KAEL,L,22,KAEL MOUILLIERAT,1.0,10:41,10:32
THORNTON,SHAWN,L,22,SHAWN THORNTON,50.0,434:27,428:08
MILANO,SONNY,L,22,SONNY MILANO,3.0,40:08,40:08
CRACKNELL,ADAM,R,22,ADAM CRACKNELL,52.0,636:01,586:39
THORBURN,CHRIS,R,22,CHRIS THORBURN,82.0,829:57,760:52
WEISE,DALE,R,22,DALE WEISE,71.0,951:36,821:44
CONDRA,ERIK,R,22,ERIK CONDRA,54.0,578:10,506:47
TOOTOO,JORDIN,R,22,JORDIN TOOTOO,66.0,760:50,670:39
NIEDERREITER,NINO,R,22,NINO NIEDERREITER,82.0,1271:07,1060:27
KELLY,CHRIS,C,23,CHRIS KELLY,11.0,143:57,113:13
MEGNA,JAYSON,C,23,JAYSON MEGNA,6.0,73:29,63:02
HENDRICKS,MATT,C,23,MATT HENDRICKS,68.0,899:59,713:09
GRIMALDI,ROCCO,C,23,ROCCO GRIMALDI,20.0,237:18,221:14
REINHART,SAM,C,23,SAM REINHART,79.0,1330:03,1036:19
GOMEZ,SCOTT,C,23,SCOTT GOMEZ,34.0,385:28,319:03
WILSON,SCOTT,C,23,SCOTT WILSON,24.0,256:29,234:11
MONAHAN,SEAN,C,23,SEAN MONAHAN,81.0,1550:53,1135:08
SILL,ZACH,C,23,ZACH SILL,10.0,99:20,90:41
EDLER,ALEXANDER,D,23,ALEXANDER EDLER,52.0,1271:32,914:14
MANNING,BRANDON,D,23,BRANDON MANNING,56.0,924:51,830:31
LINDELL,ESA,D,23,ESA LINDELL,4.0,56:11,53:29
OLOFSSON,GUSTAV,D,23,GUSTAV OLOFSSON,2.0,18:23,17:44
EKMAN-LARSSON,OLIVER,D,23,OLIVER EKMAN-LARSSON,75.0,1853:36,1322:42
MCGINN,BROCK,L,23,BROCK MCGINN,21.0,234:55,218:46
BROWN,DUSTIN,L,23,DUSTIN BROWN,82.0,1326:13,1082:15
FARNHAM,BOBBY,R,23,BOBBY FARNHAM,53.0,493:36,482:55
CLARKSON,DAVID,R,23,DAVID CLARKSON,23.0,212:00,204:32
JASKIN,DMITRIJ,R,23,DMITRIJ JASKIN,65.0,770:33,747:42
BROWN,J.T.,R,23,J.T. BROWN,78.0,1042:11,890:17
MALONE,BRAD,C,24,BRAD MALONE,57.0,544:12,472:08
CHIPCHURA,KYLE,C,24,KYLE CHIPCHURA,70.0,716:23,636:26
LINDBERG,OSCAR,C,24,OSCAR LINDBERG,68.0,828:01,734:49
HOLLAND,PETER,C,24,PETER HOLLAND,65.0,953:17,730:52
HUNT,BRAD,D,24,BRAD HUNT,7.0,99:15,81:18
TINORDI,JARRED,D,24,JARRED TINORDI,10.0,142:59,122:19
BENN,JORDIE,D,24,JORDIE BENN,64.0,1001:11,841:29
DUMBA,MATT,D,24,MATT DUMBA,81.0,1363:48,1103:29
DESPRES,SIMON,D,24,SIMON DESPRES,32.0,628:05,530:42
NYSTROM,ERIC,L,24,ERIC NYSTROM,46.0,528:14,452:29
DANAULT,PHILLIP,L,24,PHILLIP DANAULT,51.0,650:37,595:04
HUDLER,JIRI,R,24,JIRI HUDLER,72.0,1135:30,912:17
READ,MATT,R,24,MATT READ,79.0,1205:00,904:17
CALLAHAN,RYAN,R,24,RYAN CALLAHAN,73.0,1258:22,923:05
HAMILTON,FREDDIE,C,25,FREDDIE HAMILTON,4.0,50:48,46:54
TALBOT,MAX,C,25,MAX TALBOT,38.0,426:07,352:00
SANTORELLI,MIKE,C,25,MIKE SANTORELLI,70.0,706:29,657:35
GRIGORENKO,MIKHAIL,C,25,MIKHAIL GRIGORENKO,74.0,981:44,816:10
WHITE,RYAN,C,25,RYAN WHITE,73.0,917:10,758:21
KARLSSON,WILLIAM,C,25,WILLIAM KARLSSON,81.0,1172:04,950:43
COLAIACOVO,CARLO,D,25,CARLO COLAIACOVO,36.0,521:01,495:44
BUTLER,CHRIS,D,25,CHRIS BUTLER,5.0,57:30,51:03
NURSE,DARNELL,D,25,DARNELL NURSE,69.0,1395:43,1176:30
BRODIN,JONAS,D,25,JONAS BRODIN,68.0,1384:01,1206:19
CARLE,MATTHEW,D,25,MATTHEW CARLE,64.0,1073:54,921:47
GREEN,MIKE,D,25,MIKE GREEN,74.0,1462:47,1164:07
SAMUELSSON,PHILIP,D,25,PHILIP SAMUELSSON,4.0,63:33,52:38
MARKSTROM,JACOB,G,25,JACOB MARKSTROM,,,
TERRY,CHRIS,L,25,CHRIS TERRY,68.0,766:41,714:33
DE LA ROSE,JACOB,L,25,JACOB DE LA ROSE,22.0,273:34,238:21
CHIMERA,JASON,L,25,JASON CHIMERA,82.0,1152:09,923:43
CLUNE,RICH,L,25,RICH CLUNE,19.0,153:47,149:51
STALBERG,VIKTOR,L,25,VIKTOR STALBERG,75.0,915:14,799:01
RITCHIE,BRETT,R,25,BRETT RITCHIE,8.0,92:49,81:56
NEIL,CHRIS,R,25,CHRIS NEIL,80.0,743:51,731:27
WINNIK,DANIEL,C,26,DANIEL WINNIK,76.0,1042:24,866:33
STASTNY,PAUL,C,26,PAUL STASTNY,64.0,1225:24,914:14
PETRY,JEFF,D,26,JEFF PETRY,51.0,1088:43,840:02
LILES,JOHN-MICHAEL,D,26,JOHN-MICHAEL LILES,81.0,1644:36,1322:42
STONE,MICHAEL,D,26,MICHAEL STONE,75.0,1697:48,1239:09
WOTHERSPOON,TYLER,D,26,TYLER WOTHERSPOON,11.0,155:52,141:07
HAGELIN,CARL,L,26,CARL HAGELIN,80.0,1256:33,1057:43
MOULSON,MATT,L,26,MATT MOULSON,81.0,963:22,795:43
PUEMPEL,MATT,L,26,MATT PUEMPEL,26.0,294:47,278:06
ELIAS,PATRIK,L,26,PATRIK ELIAS,16.0,246:59,170:23
VANEK,THOMAS,L,26,THOMAS VANEK,74.0,1152:42,901:14
WHEELER,BLAKE,R,26,BLAKE WHEELER,82.0,1621:49,1153:09
ETEM,EMERSON,R,26,EMERSON ETEM,58.0,762:41,727:04
PAKARINEN,IIRO,R,26,IIRO PAKARINEN,63.0,676:52,570:39
JURCO,TOMAS,R,26,TOMAS JURCO,44.0,404:03,383:30
GALCHENYUK,ALEX,C,27,ALEX GALCHENYUK,82.0,1331:55,1043:42
LEE,ANDERS,C,27,ANDERS LEE,80.0,1166:17,934:26
LAZAR,CURTIS,C,27,CURTIS LAZAR,76.0,1053:16,864:45
BJUGSTAD,NICK,C,27,NICK BJUGSTAD,67.0,1039:12,823:18
DALPE,ZAC,C,27,ZAC DALPE,2.0,20:30,16:05
MARTINEZ,ALEC,D,27,ALEC MARTINEZ,78.0,1649:45,1244:22
PIETRANGELO,ALEX,D,27,ALEX PIETRANGELO,73.0,1920:15,1403:44
HUTTON,BEN,D,27,BEN HUTTON,75.0,1490:30,1174:59
HAMILTON,DOUGIE,D,27,DOUGIE HAMILTON,82.0,1620:39,1309:35
FAULK,JUSTIN,D,27,JUSTIN FAULK,64.0,1538:43,1138:38
ALZNER,KARL,D,27,KARL ALZNER,82.0,1752:46,1442:33
QUINCEY,KYLE,D,27,KYLE QUINCEY,47.0,928:53,787:25
MCDONAGH,RYAN,D,27,RYAN MCDONAGH,73.0,1631:43,1224:59
MURRAY,RYAN,D,27,RYAN MURRAY,82.0,1873:23,1399:12
MARTINSEN,ANDREAS,L,27,ANDREAS MARTINSEN,55.0,610:21,588:41
DROUIN,JONATHAN,L,27,JONATHAN DROUIN,21.0,303:18,243:40
