last,first,pos,num,comb,GP,TOI,TOI_5v5
KERANEN,MICHAEL,L,36,MICHAEL KERANEN,1.0,6:09,6:09
WAGNER,CHRIS,R,36,CHRIS WAGNER,43.0,393:40,365:11
MCDONALD,COLIN,R,36,COLIN MCDONALD,5.0,40:43,40:40
HANSEN,JANNIK,R,36,JANNIK HANSEN,67.0,1101:05,890:25
BROUWER,TROY,R,36,TROY BROUWER,82.0,1393:34,1057:56
JEFFREY,DUSTIN,C,37,DUSTIN JEFFREY,7.0,79:51,71:15
BERGERON,PATRICE,C,37,PATRICE BERGERON,80.0,1586:47,1081:19
ZACHA,PAVEL,C,37,PAVEL ZACHA,1.0,16:51,10:39
REGNER,BRENT,D,37,BRENT REGNER,7.0,80:52,78:12
STRAIT,BRIAN,D,37,BRIAN STRAIT,52.0,802:35,707:45
ZATKOFF,JEFF,G,37,JEFF ZATKOFF,,,
ORTIO,JONI,G,37,JONI ORTIO,,,
RITCHIE,NICK,L,37,NICK RITCHIE,33.0,388:09,363:08
KAPANEN,KASPERI,R,37,KASPERI KAPANEN,9.0,133:01,109:11
JENNER,BOONE,C,38,BOONE JENNER,82.0,1345:33,1123:32
KEARNS,BRACKEN,C,38,BRACKEN KEARNS,2.0,31:47,26:36
HALEY,MICHEAL,C,38,MICHEAL HALEY,16.0,113:34,113:01
GRAGNANI,MARC-ANDRE,D,38,MARC-ANDRE GRAGNANI,4.0,57:27,44:48
SANTINI,STEVEN,D,38,STEVEN SANTINI,1.0,14:35,14:13
FIDDLER,VERNON,L,38,VERNON FIDDLER,82.0,953:14,732:58
ARVIDSSON,VIKTOR,L,38,VIKTOR ARVIDSSON,56.0,694:28,662:44
HARTMAN,RYAN,R,38,RYAN HARTMAN,3.0,27:43,27:43
COUTURE,LOGAN,C,39,LOGAN COUTURE,52.0,903:14,632:09
CHAPUT,MICHAEL,C,39,MICHAEL CHAPUT,8.0,71:59,71:28
NYLANDER,WILLIAM,C,39,WILLIAM NYLANDER,22.0,359:26,278:33
PROSSER,NATE,D,39,NATE PROSSER,54.0,615:05,531:05
HELGESON,SETH,D,39,SETH HELGESON,19.0,265:10,253:44
ENSTROM,TOBY,D,39,TOBY ENSTROM,72.0,1501:31,1232:45
NILSSON,ANDERS,G,39,ANDERS NILSSON,,,
MAZANEC,MAREK,G,39,MAREK MAZANEC,,,
CONDON,MIKE,G,39,MIKE CONDON,,,
BELESKEY,MATT,L,39,MATT BELESKEY,80.0,1268:33,1115:43
MANTHA,ANTHONY,R,39,ANTHONY MANTHA,10.0,117:00,96:02
BAUN,KYLE,R,39,KYLE BAUN,2.0,18:06,18:06
DILLON,BRENDEN,D,4,BRENDEN DILLON,76.0,1268:02,1168:28
FOWLER,CAM,D,4,CAM FOWLER,69.0,1571:52,1135:45
GUNNARSSON,CARL,D,4,CARL GUNNARSSON,72.0,1251:20,1063:45
OLSEN,DYLAN,D,4,DYLAN OLSEN,8.0,110:01,108:47
KINDL,JAKUB,D,4,JAKUB KINDL,44.0,677:09,610:02
DEMERS,JASON,D,4,JASON DEMERS,62.0,1293:49,986:29
GORGES,JOSH,D,4,JOSH GORGES,77.0,1575:49,1336:31
CONNAUTON,KEVIN,D,4,KEVIN CONNAUTON,65.0,1087:58,936:26
REILLY,MIKE,D,4,MIKE REILLY,29.0,350:24,279:01
HJALMARSSON,NIKLAS,D,4,NIKLAS HJALMARSSON,81.0,1812:38,1499:57
POSTMA,PAUL,D,4,PAUL POSTMA,26.0,297:46,280:08
SCUDERI,ROB,D,4,ROB SCUDERI,63.0,996:02,866:12
ELLIS,RYAN,D,4,RYAN ELLIS,79.0,1650:46,1314:15
CHORNEY,TAYLOR,D,4,TAYLOR CHORNEY,55.0,725:30,653:47
BARRIE,TYSON,D,4,TYSON BARRIE,78.0,1808:59,1435:21
MICHALEK,ZBYNEK,D,4,ZBYNEK MICHALEK,70.0,1188:00,951:43
HALL,TAYLOR,L,4,TAYLOR HALL,82.0,1573:05,1247:27
SUNDQVIST,OSKAR,C,40,OSKAR SUNDQVIST,18.0,185:36,176:05
CARPENTER,RYAN,C,40,RYAN CARPENTER,1.0,7:27,7:27
LECAVALIER,VINCENT,C,40,VINCENT LECAVALIER,49.0,648:46,535:51
SCRIVENS,BEN,G,40,BEN SCRIVENS,,,
ALTSHULLER,DANIEL,G,40,DANIEL ALTSHULLER,,,
DUBNYK,DEVAN,G,40,DEVAN DUBNYK,,,
SCHOENFELD,NATHAN,G,40,NATHAN SCHOENFELD,,,
LEHNER,ROBIN,G,40,ROBIN LEHNER,,,
RASK,TUUKKA,G,40,TUUKKA RASK,,,
DANIS,YANN,G,40,YANN DANIS,,,
TANGUAY,ALEX,L,40,ALEX TANGUAY,70.0,1105:20,880:25
ZETTERBERG,HENRIK,L,40,HENRIK ZETTERBERG,82.0,1591:39,1224:57
ZALEWSKI,MICHAEL,L,40,MICHAEL ZALEWSKI,3.0,35:34,35:34
BOLL,JARED,R,40,JARED BOLL,30.0,199:30,198:33
ARMIA,JOEL,R,40,JOEL ARMIA,43.0,522:56,476:01
GRABNER,MICHAEL,R,40,MICHAEL GRABNER,80.0,1157:32,859:45
WENNBERG,ALEXANDER,C,41,ALEXANDER WENNBERG,69.0,1094:23,841:37
MCKEGG,GREG,C,41,GREG MCKEGG,15.0,123:52,117:37
KEMPPAINEN,JOONAS,C,41,JOONAS KEMPPAINEN,44.0,551:26,465:27
GLENDENING,LUKE,C,41,LUKE GLENDENING,81.0,1180:48,882:12
MCNEILL,MARK,C,41,MARK MCNEILL,1.0,12:44,11:47
MUELLER,MIRCO,D,41,MIRCO MUELLER,11.0,116:38,111:57
BORTUZZO,ROBERT,D,41,ROBERT BORTUZZO,40.0,530:46,486:38
ANDERSON,CRAIG,G,41,CRAIG ANDERSON,,,
HALAK,JAROSLAV,G,41,JAROSLAV HALAK,,,
SMITH,MIKE,G,41,MIKE SMITH,,,
ZOLNIERCZYK,HARRY,L,41,HARRY ZOLNIERCZYK,1.0,8:48,8:46
BYRON,PAUL,L,41,PAUL BYRON,62.0,853:02,705:34
KENINS,RONALDS,L,41,RONALDS KENINS,8.0,91:17,89:39
SPRONG,DANIEL,R,41,DANIEL SPRONG,18.0,157:03,148:56
SOSHNIKOV,NIKITA,R,41,NIKITA SOSHNIKOV,11.0,171:50,145:25
NORDSTROM,JOAKIM,C,42,JOAKIM NORDSTROM,71.0,1109:26,955:08
MARCHESSAULT,JONATHAN,C,42,JONATHAN MARCHESSAULT,45.0,544:01,409:33
HOWDEN,QUINTON,C,42,QUINTON HOWDEN,58.0,601:35,582:00
BOZAK,TYLER,C,42,TYLER BOZAK,57.0,988:28,765:34
MANSON,JOSH,D,42,JOSH MANSON,71.0,1333:33,1137:40
MAYFIELD,SCOTT,D,42,SCOTT MAYFIELD,6.0,102:39,89:37
SLEPYSHEV,ANTON,L,42,ANTON SLEPYSHEV,11.0,95:36,92:39
SELLECK,ERIC,L,42,ERIC SELLECK,1.0,9:33,9:11
BACKES,DAVID,R,42,DAVID BACKES,79.0,1518:53,1107:34
WARD,JOEL,R,42,JOEL WARD,79.0,1340:36,1028:28
ANDRIGHETTO,SVEN,R,42,SVEN ANDRIGHETTO,44.0,620:57,548:27
CATENACCI,DANIEL,C,43,DANIEL CATENACCI,11.0,96:08,91:13
HELM,DARREN,C,43,DARREN HELM,77.0,1159:59,931:22
KADRI,NAZEM,C,43,NAZEM KADRI,76.0,1388:47,1091:47
DZINGEL,RYAN,C,43,RYAN DZINGEL,30.0,323:51,303:49
SVEDBERG,VIKTOR,D,43,VIKTOR SVEDBERG,27.0,425:20,388:15
SHEARY,CONOR,L,43,CONOR SHEARY,44.0,429:08,389:34
CARR,DANIEL,L,43,DANIEL CARR,23.0,277:41,251:57
FRIBERG,MAX,L,43,MAX FRIBERG,5.0,44:12,41:43
HARTNELL,SCOTT,L,43,SCOTT HARTNELL,79.0,1231:05,994:16
PLOTNIKOV,SERGEI,L,43,SERGEI PLOTNIKOV,45.0,444:32,432:20
WILSON,TOM,R,43,TOM WILSON,82.0,1058:51,903:57
NICHUSHKIN,VALERI,R,43,VALERI NICHUSHKIN,79.0,1100:19,1000:50
PAGEAU,JEAN-GABRIEL,C,44,JEAN-GABRIEL PAGEAU,82.0,1368:08,1079:10
THOMPSON,NATE,C,44,NATE THOMPSON,49.0,567:59,469:54
GRAOVAC,TYLER,C,44,TYLER GRAOVAC,2.0,23:13,23:13
ORPIK,BROOKS,D,44,BROOKS ORPIK,41.0,812:14,691:28
DE HAAN,CALVIN,D,44,CALVIN DE HAAN,72.0,1485:34,1244:37
DIETZ,DARREN,D,44,DARREN DIETZ,13.0,188:59,174:50
SEIDENBERG,DENNIS,D,44,DENNIS SEIDENBERG,61.0,1183:15,1009:39
GELINAS,ERIC,D,44,ERIC GELINAS,40.0,553:23,487:03
GUDBRANSON,ERIK,D,44,ERIK GUDBRANSON,64.0,1287:12,1016:43
FALK,JUSTIN,D,44,JUSTIN FALK,24.0,341:25,317:11
VLASIC,MARC-EDOUARD,D,44,MARC-EDOUARD VLASIC,67.0,1549:42,1187:39
BARTKOWSKI,MATT,D,44,MATT BARTKOWSKI,80.0,1489:32,1313:09
RIELLY,MORGAN,D,44,MORGAN RIELLY,82.0,1904:37,1443:36
WOOD,MILES,L,44,MILES WOOD,1.0,13:06,12:22
DESLAURIERS,NICOLAS,L,44,NICOLAS DESLAURIERS,70.0,722:12,696:56
MCGINN,TYE,L,44,TYE MCGINN,2.0,17:05,16:46
KASSIAN,ZACK,R,44,ZACK KASSIAN,36.0,448:16,423:44
MCFARLAND,JOHN,C,45,JOHN MCFARLAND,3.0,29:44,28:57
WIDEMAN,CHRIS,D,45,CHRIS WIDEMAN,64.0,892:49,816:32
MORROW,JOE,D,45,JOE MORROW,33.0,524:44,466:11
BARBERIO,MARK,D,45,MARK BARBERIO,30.0,449:56,403:16
VATANEN,SAMI,D,45,SAMI VATANEN,71.0,1516:13,1089:30
ELLIOTT,STEFAN,D,45,STEFAN ELLIOTT,21.0,297:30,266:44
LABARBERA,JASON,G,45,JASON LABARBERA,,,
BERNIER,JONATHAN,G,45,JONATHAN BERNIER,,,
HELLBERG,MAGNUS,G,45,MAGNUS HELLBERG,,,
EVERBERG,DENNIS,R,45,DENNIS EVERBERG,15.0,134:09,119:45
ARCHIBALD,JOSH,R,45,JOSH ARCHIBALD,1.0,5:02,5:02
THOMPSON,PAUL,R,45,PAUL THOMPSON,3.0,37:35,37:07
KREJCI,DAVID,C,46,DAVID KREJCI,72.0,1461:13,1045:57
WELSH,JEREMY,C,46,JEREMY WELSH,2.0,16:37,16:03
LATTA,MICHAEL,C,46,MICHAEL LATTA,43.0,347:41,343:45
GORMLEY,BRANDON,D,46,BRANDON GORMLEY,26.0,316:32,306:35
FRANSON,CODY,D,46,CODY FRANSON,59.0,993:24,801:26
KUKAN,DEAN,D,46,DEAN KUKAN,8.0,138:50,131:50
SPURGEON,JARED,D,46,JARED SPURGEON,77.0,1743:58,1362:21
WIERCIOCH,PATRICK,D,46,PATRICK WIERCIOCH,52.0,901:06,813:08
POLAK,ROMAN,D,46,ROMAN POLAK,79.0,1513:23,1261:31
CARRICK,TREVOR,D,46,TREVOR CARRICK,2.0,33:19,32:06
HRIVIK,MAREK,L,46,MAREK HRIVIK,5.0,53:35,48:17
LIPON,JC,R,46,JC LIPON,9.0,62:42,62:28
BLUNDEN,MIKE,R,46,MIKE BLUNDEN,20.0,173:04,170:04
SISLO,MIKE,R,46,MIKE SISLO,18.0,223:34,199:40
LINDBERG,TOBIAS,R,46,TOBIAS LINDBERG,6.0,95:02,76:48
BERTSCHY,CHRISTOPH,C,47,CHRISTOPH BERTSCHY,3.0,20:50,20:35
KOMAROV,LEO,C,47,LEO KOMAROV,67.0,1194:57,872:26
GRANT,ALEX,D,47,ALEX GRANT,5.0,66:10,58:55
MARCHENKO,ALEXEY,D,47,ALEXEY MARCHENKO,66.0,1110:51,947:01
MACDONALD,ANDREW,D,47,ANDREW MACDONALD,28.0,563:20,464:20
PROUT,DALTON,D,47,DALTON PROUT,64.0,1035:03,940:24
WARSOFSKY,DAVID,D,47,DAVID WARSOFSKY,22.0,376:43,318:13
LINDHOLM,HAMPUS,D,47,HAMPUS LINDHOLM,80.0,1760:09,1357:16
ODUYA,JOHNNY,D,47,JOHNNY ODUYA,82.0,1670:53,1375:38
JORDAN,MICHAL,D,47,MICHAL JORDAN,36.0,545:54,521:18
KRUG,TOREY,D,47,TOREY KRUG,81.0,1750:43,1340:17
BOGOSIAN,ZACH,D,47,ZACH BOGOSIAN,64.0,1429:28,1165:56
BAERTSCHI,SVEN,L,47,SVEN BAERTSCHI,69.0,928:37,776:11
SESTITO,TOM,L,47,TOM SESTITO,4.0,23:11,23:01
VERMIN,JOEL,R,47,JOEL VERMIN,6.0,54:50,49:36
SUTTER,BRODY,C,48,BRODY SUTTER,8.0,71:44,70:42
SHINKARUK,HUNTER,C,48,HUNTER SHINKARUK,8.0,119:43,101:09
HERTL,TOMAS,C,48,TOMAS HERTL,81.0,1293:49,1115:08
KENNEDY,TYLER,C,48,TYLER KENNEDY,50.0,671:15,589:44
HINOSTROZA,VINCENT,C,48,VINCENT HINOSTROZA,7.0,60:50,58:20
CAMPBELL,ANDREW,D,48,ANDREW CAMPBELL,6.0,69:30,66:34
MILLER,COLIN,D,48,COLIN MILLER,42.0,663:50,585:32
LINDBOHM,PETTERI,D,48,PETTERI LINDBOHM,10.0,137:53,135:31
MARTINOOK,JORDAN,L,48,JORDAN MARTINOOK,81.0,1234:09,968:00
SHAW,LOGAN,R,48,LOGAN SHAW,53.0,648:46,555:01
SIMON,DOMINIK,C,49,DOMINIK SIMON,3.0,18:13,18:13
RASK,VICTOR,C,49,VICTOR RASK,80.0,1357:54,1055:44
CLAESSON,FREDRIK,D,49,FREDRIK CLAESSON,16.0,308:38,279:59
LEIGHTON,MICHAEL,G,49,MICHAEL LEIGHTON,,,
LEIPSIC,BRENDAN,L,49,BRENDAN LEIPSIC,6.0,85:26,70:44
TANGRADI,ERIC,L,49,ERIC TANGRADI,1.0,6:55,6:55
MERSCH,MICHAEL,L,49,MICHAEL MERSCH,17.0,176:28,160:41
GALIEV,STANISLAV,R,49,STANISLAV GALIEV,24.0,218:53,200:48
EKBLAD,AARON,D,5,AARON EKBLAD,78.0,1691:16,1319:36
LARSSON,ADAM,D,5,ADAM LARSSON,82.0,1844:29,1467:28
JACKMAN,BARRET,D,5,BARRET JACKMAN,73.0,1011:35,941:57
RUHWEDEL,CHAD,D,5,CHAD RUHWEDEL,1.0,15:30,12:45
FOLIN,CHRISTIAN,D,5,CHRISTIAN FOLIN,26.0,379:05,322:15
CECI,CODY,D,5,CODY CECI,75.0,1447:24,1164:55
MURPHY,CONNOR,D,5,CONNOR MURPHY,78.0,1594:41,1280:06
GIRARDI,DAN,D,5,DAN GIRARDI,74.0,1503:44,1245:23
RUNDBLAD,DAVID,D,5,DAVID RUNDBLAD,9.0,129:21,108:06
MCBAIN,JAMIE,D,5,JAMIE MCBAIN,44.0,538:24,488:24
OLEKSIAK,JAMIE,D,5,JAMIE OLEKSIAK,19.0,241:36,227:32
GARRISON,JASON,D,5,JASON GARRISON,72.0,1329:23,1089:09
HOLZER,KORBINIAN,D,5,KORBINIAN HOLZER,29.0,427:52,386:05
SBISA,LUCA,D,5,LUCA SBISA,41.0,712:23,617:24
FAYNE,MARK,D,5,MARK FAYNE,69.0,1153:12,1008:43
GIORDANO,MARK,D,5,MARK GIORDANO,82.0,2031:21,1478:45
STUART,MARK,D,5,MARK STUART,64.0,1046:24,845:42
GUENIN,NATE,D,5,NATE GUENIN,29.0,378:45,327:59
HANIFIN,NOAH,D,5,NOAH HANIFIN,79.0,1414:25,1176:07
VERMETTE,ANTOINE,C,50,ANTOINE VERMETTE,76.0,1264:49,919:28
GAUNCE,BRENDAN,C,50,BRENDAN GAUNCE,20.0,255:10,219:53
TIERNEY,CHRIS,C,50,CHRIS TIERNEY,79.0,1042:11,890:16
PELECH,ADAM,D,50,ADAM PELECH,9.0,158:13,129:35
SIELOFF,PATRICK,D,50,PATRICK SIELOFF,1.0,17:59,10:19
PERCY,STUART,D,50,STUART PERCY,3.0,39:29,39:29
CRAWFORD,COREY,G,50,COREY CRAWFORD,,,
GUSTAVSSON,JONAS,G,50,JONAS GUSTAVSSON,,,
BINNINGTON,JORDAN,G,50,JORDAN BINNINGTON,,,
GUDLEVSKIS,KRISTERS,G,50,KRISTERS GUDLEVSKIS,,,
LIEUWEN,NATHAN,G,50,NATHAN LIEUWEN,,,
MICHALEK,STEVE,G,50,STEVE MICHALEK,,,
LANDER,ANTON,C,51,ANTON LANDER,61.0,736:38,550:48
DESHARNAIS,DAVID,C,51,DAVID DESHARNAIS,65.0,1040:13,843:51
NIELSEN,FRANS,C,51,FRANS NIELSEN,81.0,1435:19,977:31
SPOONER,RYAN,C,51,RYAN SPOONER,80.0,1211:17,925:54
KALININ,SERGEY,C,51,SERGEY KALININ,78.0,1039:24,902:18
FILPPULA,VALTTERI,C,51,VALTTERI FILPPULA,76.0,1387:23,986:16
CAMPBELL,BRIAN,D,51,BRIAN CAMPBELL,82.0,1826:18,1394:06
POULIOT,DERRICK,D,51,DERRICK POULIOT,22.0,339:58,307:11
TYUTIN,FEDOR,D,51,FEDOR TYUTIN,61.0,1073:00,921:35
GARDINER,JAKE,D,51,JAKE GARDINER,79.0,1629:03,1332:15
WATSON,AUSTIN,L,51,AUSTIN WATSON,57.0,570:09,514:59
AGOSTINO,KENNY,L,51,KENNY AGOSTINO,2.0,27:06,23:55
HOLLOWAY,BUD,C,52,BUD HOLLOWAY,1.0,7:19,7:19
COUSINS,NICK,C,52,NICK COUSINS,36.0,386:19,364:44
GUSTAFSSON,ERIK,D,52,ERIK GUSTAFSSON,41.0,633:07,549:24
ERICSSON,JONATHAN,D,52,JONATHAN ERICSSON,71.0,1315:57,1088:53
MARINCIN,MARTIN,D,52,MARTIN MARINCIN,65.0,1089:59,909:08
IRWIN,MATT,D,52,MATT IRWIN,2.0,29:52,25:25
BOLLIG,BRANDON,L,52,BRANDON BOLLIG,54.0,501:03,493:02
JOHNSTON,ROSS,L,52,ROSS JOHNSTON,1.0,16:17,14:30
FASCHING,HUDSON,R,52,HUDSON FASCHING,7.0,80:39,80:23
HORVAT,BO,C,53,BO HORVAT,82.0,1404:40,1005:58
CIZIKAS,CASEY,C,53,CASEY CIZIKAS,80.0,1014:24,816:03
KNIGHT,CORBAN,C,53,CORBAN KNIGHT,20.0,192:38,189:18
SKINNER,JEFF,C,53,JEFF SKINNER,82.0,1335:31,1110:08
CARRICK,SAM,C,53,SAM CARRICK,3.0,34:24,29:38
COLLINS,SEAN,C,53,SEAN COLLINS,2.0,17:03,15:35
GRIFFITH,SETH,C,53,SETH GRIFFITH,4.0,39:52,32:12
GRAVEL,KEVIN,D,53,KEVIN GRAVEL,5.0,58:23,52:15
WITKOWSKI,LUKE,D,53,LUKE WITKOWSKI,4.0,28:31,28:25
GOSTISBEHERE,SHAYNE,D,53,SHAYNE GOSTISBEHERE,64.0,1285:40,951:42
THEODORE,SHEA,D,53,SHEA THEODORE,19.0,363:04,273:06
MOZIK,VOJTECH,D,53,VOJTECH MOZIK,7.0,92:41,92:07
MASHINTER,BRANDON,L,53,BRANDON MASHINTER,41.0,307:11,303:41
LESSIO,LUCAS,L,53,LUCAS LESSIO,12.0,125:42,119:46
GAUTHIER,FREDERIK,C,54,FREDERIK GAUTHIER,7.0,96:55,74:59
MCQUAID,ADAM,D,54,ADAM MCQUAID,64.0,1154:34,968:19
PESCE,BRETT,D,54,BRETT PESCE,69.0,1294:37,1104:03
HUDON,CHARLES,L,54,CHARLES HUDON,3.0,32:05,29:54
KHAIRA,JUJHAR,L,54,JUJHAR KHAIRA,15.0,155:19,153:52
BULMER,BRETT,R,54,BRETT BULMER,3.0,20:09,19:59
LETESTU,MARK,C,55,MARK LETESTU,82.0,1294:02,885:35
SCHEIFELE,MARK,C,55,MARK SCHEIFELE,71.0,1316:40,1027:46
ACCIARI,NOEL,C,55,NOEL ACCIARI,19.0,187:57,160:07
NESS,AARON,D,55,AARON NESS,8.0,99:06,97:21
BIEGA,ALEX,D,55,ALEX BIEGA,51.0,854:52,770:51
COBURN,BRAYDON,D,55,BRAYDON COBURN,80.0,1340:11,1122:05
SUMMERS,CHRIS,D,55,CHRIS SUMMERS,3.0,46:10,42:12
PARAYKO,COLTON,D,55,COLTON PARAYKO,79.0,1530:58,1260:07
SCHULTZ,JEFF,D,55,JEFF SCHULTZ,1.0,18:15,13:05
RAMAGE,JOHN,D,55,JOHN RAMAGE,1.0,14:09,13:48
BOYCHUK,JOHNNY,D,55,JOHNNY BOYCHUK,70.0,1495:39,1214:51
SCHULTZ,NICK,D,55,NICK SCHULTZ,81.0,1453:18,1158:24
KRONWALL,NIKLAS,D,55,NIKLAS KRONWALL,64.0,1408:27,1000:27
RISTOLAINEN,RASMUS,D,55,RASMUS RISTOLAINEN,82.0,2073:01,1491:42
LOOV,VIKTOR,D,55,VIKTOR LOOV,4.0,41:50,40:32
MCLEOD,CODY,L,55,CODY MCLEOD,82.0,864:06,768:19
ROBINSON,BUDDY,R,55,BUDDY ROBINSON,3.0,25:48,25:40
FRIESEN,ALEX,C,56,ALEX FRIESEN,1.0,11:43,11:43
FROESE,BYRON,C,56,BYRON FROESE,56.0,707:04,536:06
DANO,MARKO,C,56,MARKO DANO,34.0,416:33,384:04
MATHESON,MICHAEL,D,56,MICHAEL MATHESON,3.0,52:36,47:42
CROSS,TOMMY,D,56,TOMMY CROSS,3.0,39:16,33:29
PIETILA,BLAKE,L,56,BLAKE PIETILA,7.0,84:14,73:20
WOODS,BRENDAN,L,56,BRENDAN WOODS,5.0,43:32,43:30
HAULA,ERIK,L,56,ERIK HAULA,76.0,966:14,790:51
FIALA,KEVIN,L,56,KEVIN FIALA,5.0,65:46,61:48
PAAJARVI,MAGNUS,L,56,MAGNUS PAAJARVI,48.0,616:48,583:45
BECK,TAYLOR,L,56,TAYLOR BECK,2.0,16:58,16:58
PULKKINEN,TEEMU,L,56,TEEMU PULKKINEN,36.0,416:25,337:52
BAILEY,JUSTIN,R,56,JUSTIN BAILEY,8.0,92:49,89:46
GRANT,DEREK,C,57,DEREK GRANT,15.0,163:11,142:24
WINGELS,TOMMY,C,57,TOMMY WINGELS,68.0,927:10,783:38
VAN RIEMSDYK,TREVOR,D,57,TREVOR VAN RIEMSDYK,82.0,1638:38,1393:37
MYERS,TYLER,D,57,TYLER MYERS,73.0,1650:18,1246:03
PERRON,DAVID,L,57,DAVID PERRON,71.0,1080:04,891:53
BOURQUE,GABRIEL,L,57,GABRIEL BOURQUE,22.0,272:01,212:10
MILLER,ANDREW,C,58,ANDREW MILLER,6.0,54:44,52:57
CARRICK,CONNOR,D,58,CONNOR CARRICK,19.0,295:08,267:39
SAVARD,DAVID,D,58,DAVID SAVARD,65.0,1506:13,1124:38
LETANG,KRIS,D,58,KRIS LETANG,71.0,1913:18,1351:03
KYLINGTON,OLIVER,D,58,OLIVER KYLINGTON,1.0,16:46,10:18
FEDUN,TAYLOR,D,58,TAYLOR FEDUN,1.0,18:48,18:39
LEIER,TAYLOR,L,58,TAYLOR LEIER,6.0,46:20,45:07
SCHALLER,TIM,C,59,TIM SCHALLER,17.0,141:30,120:49
JOSI,ROMAN,D,59,ROMAN JOSI,81.0,2064:13,1484:37
DZIURZYNSKI,DAVE,L,59,DAVE DZIURZYNSKI,14.0,141:05,137:23
BURMISTROV,ALEXANDER,C,6,ALEXANDER BURMISTROV,81.0,1309:59,1044:22
PETROVIC,ALEX,D,6,ALEX PETROVIC,66.0,1119:04,963:13
GREENE,ANDY,D,6,ANDY GREENE,82.0,1879:38,1459:04
STRALMAN,ANTON,D,6,ANTON STRALMAN,73.0,1609:57,1158:15
WIDEMAN,DENNIS,D,6,DENNIS WIDEMAN,51.0,1051:08,785:15
MCILRATH,DYLAN,D,6,DYLAN MCILRATH,34.0,480:13,442:39
JOHNSON,ERIK,D,6,ERIK JOHNSON,73.0,1710:32,1238:38
PATERYN,GREG,D,6,GREG PATERYN,38.0,635:56,564:00
MUZZIN,JAKE,D,6,JAKE MUZZIN,82.0,1891:00,1415:04
EDMUNDSON,JOEL,D,6,JOEL EDMUNDSON,67.0,999:58,909:11
SCANDELLA,MARCO,D,6,MARCO SCANDELLA,73.0,1510:20,1254:51
WEBER,MIKE,D,6,MIKE WEBER,45.0,696:37,623:13
PULOCK,RYAN,D,6,RYAN PULOCK,15.0,235:56,203:49
WEBER,SHEA,D,6,SHEA WEBER,78.0,1978:50,1418:29
DALEY,TREVOR,D,6,TREVOR DALEY,82.0,1512:11,1243:07
WEBER,YANNICK,D,6,YANNICK WEBER,45.0,847:20,680:34
RYAN,BOBBY,R,6,BOBBY RYAN,81.0,1390:05,1064:03
GRANLUND,MARKUS,C,60,MARKUS GRANLUND,47.0,648:01,541:15
TREUTLE,NIKLAS,G,60,NIKLAS TREUTLE,,,
BENOIT,ANDRE,D,61,ANDRE BENOIT,2.0,27:10,26:07
KULAK,BRETT,D,61,BRETT KULAK,8.0,98:46,97:02
BRAUN,JUSTIN,D,61,JUSTIN BRAUN,80.0,1644:45,1369:53
OUELLET,XAVIER,D,61,XAVIER OUELLET,5.0,81:13,74:47
NASH,RICK,L,61,RICK NASH,60.0,1016:22,762:02
TOLCHINSKY,SERGEY,L,61,SERGEY TOLCHINSKY,2.0,23:33,22:39
STONE,MARK,R,61,MARK STONE,75.0,1507:54,1094:37
SUSTR,ANDREJ,D,62,ANDREJ SUSTR,77.0,1296:24,1119:47
GRYBA,ERIC,D,62,ERIC GRYBA,53.0,947:46,810:24
TROTMAN,ZACH,D,62,ZACH TROTMAN,38.0,705:03,607:05
MARCHAND,BRAD,C,63,BRAD MARCHAND,77.0,1432:11,1077:49
BOLLAND,DAVE,C,63,DAVE BOLLAND,25.0,352:18,273:01
RIBEIRO,MIKE,C,63,MIKE RIBEIRO,81.0,1412:46,1122:47
ENNIS,TYLER,C,63,TYLER ENNIS,23.0,415:34,332:28
GABRIEL,KURTIS,R,63,KURTIS GABRIEL,3.0,13:29,13:29
BLANDISI,JOSEPH,C,64,JOSEPH BLANDISI,41.0,639:47,529:54
GRANLUND,MIKAEL,C,64,MIKAEL GRANLUND,82.0,1483:01,1115:29
HATHAWAY,GARNET,R,64,GARNET HATHAWAY,14.0,168:15,155:42
NOESEN,STEFAN,R,64,STEFAN NOESEN,1.0,10:02,6:35
RANDELL,TYLER,R,64,TYLER RANDELL,27.0,188:32,188:02
SHAW,ANDREW,C,65,ANDREW SHAW,78.0,1142:47,956:15
ELSON,TURNER,C,65,TURNER ELSON,1.0,14:54,8:19
GOURDE,YANNI,C,65,YANNI GOURDE,2.0,14:38,14:38
DEKEYSER,DANNY,D,65,DANNY DEKEYSER,78.0,1700:25,1363:46
KARLSSON,ERIK,D,65,ERIK KARLSSON,82.0,2373:51,1735:58
HAINSEY,RON,D,65,RON HAINSEY,81.0,1806:56,1477:11
STOLARZ,ANTHONY,G,65,ANTHONY STOLARZ,,,
BURAKOVSKY,ANDRE,L,65,ANDRE BURAKOVSKY,79.0,1028:56,940:00
GRENIER,ALEXANDRE,R,65,ALEXANDRE GRENIER,6.0,68:51,68:06
DOWD,NIC,C,67,NIC DOWD,5.0,52:53,48:19
KERO,TANNER,C,67,TANNER KERO,17.0,208:59,171:16
HARPUR,BEN,D,67,BEN HARPUR,5.0,68:18,66:46
POULIOT,BENOIT,L,67,BENOIT POULIOT,55.0,882:39,701:06
PACIORETTY,MAX,L,67,MAX PACIORETTY,82.0,1517:28,1088:15
BROWN,CHRIS,R,67,CHRIS BROWN,1.0,7:41,7:41
