last,first,pos,num,comb,won,lost,dz_won,nz_won,oz_won,p1_won,p2_won,p3_won,ot_won,5v5_won,ev_won,sh_won,pp_won,dz_lost,nz_lost,oz_lost,p1_lost,p2_lost,p3_lost,ot_lost,5v5_lost,ev_lost,sh_lost,pp_lost
JORDAN,MICHAL,D,47,MICHAL JORDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRUG,TOREY,D,47,TOREY KRUG,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOGOSIAN,ZACH,D,47,ZACH BOGOSIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAERTSCHI,SVEN,L,47,SVEN BAERTSCHI,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
SESTITO,TOM,L,47,TOM SESTITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMIN,JOEL,R,47,JOEL VERMIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUTTER,BRODY,C,48,BRODY SUTTER,9.0,4.0,1.0,5.0,3.0,4.0,3.0,2.0,0.0,9.0,9.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0
SHINKARUK,HUNTER,C,48,HUNTER SHINKARUK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
HERTL,TOMAS,C,48,TOMAS HERTL,256.0,201.0,72.0,122.0,62.0,71.0,82.0,103.0,0.0,204.0,218.0,0.0,38.0,61.0,86.0,54.0,64.0,71.0,62.0,4.0,162.0,173.0,0.0,28.0
KENNEDY,TYLER,C,48,TYLER KENNEDY,23.0,35.0,8.0,2.0,13.0,9.0,6.0,8.0,0.0,20.0,20.0,0.0,3.0,11.0,3.0,21.0,11.0,14.0,10.0,0.0,31.0,31.0,2.0,2.0
HINOSTROZA,VINCENT,C,48,VINCENT HINOSTROZA,13.0,19.0,2.0,6.0,5.0,3.0,3.0,7.0,0.0,12.0,12.0,0.0,1.0,5.0,7.0,7.0,6.0,6.0,7.0,0.0,18.0,19.0,0.0,0.0
CAMPBELL,ANDREW,D,48,ANDREW CAMPBELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
