last,first,pos,num,comb,won,lost,dz_won,nz_won,oz_won,p1_won,p2_won,p3_won,ot_won,5v5_won,ev_won,sh_won,pp_won,dz_lost,nz_lost,oz_lost,p1_lost,p2_lost,p3_lost,ot_lost,5v5_lost,ev_lost,sh_lost,pp_lost
JOHNSTON,ROSS,L,52,ROSS JOHNSTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASCHING,HUDSON,R,52,HUDSON FASCHING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HORVAT,BO,C,53,BO HORVAT,760.0,733.0,345.0,204.0,211.0,243.0,244.0,254.0,19.0,540.0,583.0,108.0,69.0,364.0,162.0,207.0,233.0,220.0,266.0,14.0,488.0,525.0,162.0,46.0
CIZIKAS,CASEY,C,53,CASEY CIZIKAS,469.0,490.0,215.0,147.0,107.0,154.0,148.0,166.0,1.0,375.0,383.0,83.0,3.0,230.0,166.0,94.0,145.0,170.0,171.0,4.0,361.0,370.0,113.0,7.0
KNIGHT,CORBAN,C,53,CORBAN KNIGHT,54.0,52.0,18.0,18.0,18.0,16.0,21.0,17.0,0.0,52.0,52.0,0.0,2.0,16.0,18.0,18.0,19.0,20.0,13.0,0.0,50.0,50.0,1.0,1.0
SKINNER,JEFF,C,53,JEFF SKINNER,20.0,27.0,1.0,4.0,15.0,3.0,13.0,4.0,0.0,7.0,8.0,0.0,12.0,1.0,7.0,19.0,12.0,8.0,5.0,2.0,13.0,16.0,0.0,11.0
CARRICK,SAM,C,53,SAM CARRICK,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLINS,SEAN,C,53,SEAN COLLINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRIFFITH,SETH,C,53,SETH GRIFFITH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAVEL,KEVIN,D,53,KEVIN GRAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WITKOWSKI,LUKE,D,53,LUKE WITKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOSTISBEHERE,SHAYNE,D,53,SHAYNE GOSTISBEHERE,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THEODORE,SHEA,D,53,SHEA THEODORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOZIK,VOJTECH,D,53,VOJTECH MOZIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MASHINTER,BRANDON,L,53,BRANDON MASHINTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LESSIO,LUCAS,L,53,LUCAS LESSIO,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
GAUTHIER,FREDERIK,C,54,FREDERIK GAUTHIER,52.0,58.0,29.0,15.0,8.0,21.0,17.0,14.0,0.0,36.0,37.0,14.0,1.0,27.0,13.0,18.0,20.0,22.0,16.0,0.0,43.0,43.0,13.0,2.0
MCQUAID,ADAM,D,54,ADAM MCQUAID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PESCE,BRETT,D,54,BRETT PESCE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
HUDON,CHARLES,L,54,CHARLES HUDON,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
KHAIRA,JUJHAR,L,54,JUJHAR KHAIRA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
BULMER,BRETT,R,54,BRETT BULMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LETESTU,MARK,C,55,MARK LETESTU,596.0,566.0,260.0,171.0,165.0,174.0,221.0,195.0,6.0,382.0,414.0,106.0,76.0,277.0,141.0,148.0,169.0,184.0,208.0,5.0,350.0,373.0,122.0,71.0
SCHEIFELE,MARK,C,55,MARK SCHEIFELE,515.0,651.0,159.0,161.0,195.0,172.0,167.0,167.0,9.0,397.0,427.0,16.0,72.0,168.0,243.0,240.0,222.0,208.0,214.0,7.0,496.0,533.0,21.0,97.0
ACCIARI,NOEL,C,55,NOEL ACCIARI,60.0,76.0,18.0,23.0,19.0,15.0,23.0,22.0,0.0,50.0,51.0,6.0,3.0,23.0,24.0,29.0,36.0,14.0,26.0,0.0,68.0,69.0,7.0,0.0
NESS,AARON,D,55,AARON NESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIEGA,ALEX,D,55,ALEX BIEGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COBURN,BRAYDON,D,55,BRAYDON COBURN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUMMERS,CHRIS,D,55,CHRIS SUMMERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARAYKO,COLTON,D,55,COLTON PARAYKO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHULTZ,JEFF,D,55,JEFF SCHULTZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAMAGE,JOHN,D,55,JOHN RAMAGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOYCHUK,JOHNNY,D,55,JOHNNY BOYCHUK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHULTZ,NICK,D,55,NICK SCHULTZ,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRONWALL,NIKLAS,D,55,NIKLAS KRONWALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RISTOLAINEN,RASMUS,D,55,RASMUS RISTOLAINEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LOOV,VIKTOR,D,55,VIKTOR LOOV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCLEOD,CODY,L,55,CODY MCLEOD,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROBINSON,BUDDY,R,55,BUDDY ROBINSON,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
FRIESEN,ALEX,C,56,ALEX FRIESEN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
FROESE,BYRON,C,56,BYRON FROESE,310.0,332.0,173.0,85.0,52.0,92.0,104.0,111.0,3.0,220.0,228.0,80.0,2.0,178.0,101.0,53.0,119.0,111.0,101.0,1.0,234.0,243.0,85.0,4.0
DANO,MARKO,C,56,MARKO DANO,2.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0
MATHESON,MICHAEL,D,56,MICHAEL MATHESON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CROSS,TOMMY,D,56,TOMMY CROSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIETILA,BLAKE,L,56,BLAKE PIETILA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOODS,BRENDAN,L,56,BRENDAN WOODS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
HAULA,ERIK,L,56,ERIK HAULA,416.0,365.0,184.0,141.0,91.0,136.0,147.0,130.0,3.0,375.0,381.0,34.0,1.0,146.0,130.0,89.0,128.0,132.0,101.0,4.0,318.0,326.0,32.0,7.0
FIALA,KEVIN,L,56,KEVIN FIALA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAAJARVI,MAGNUS,L,56,MAGNUS PAAJARVI,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
BECK,TAYLOR,L,56,TAYLOR BECK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PULKKINEN,TEEMU,L,56,TEEMU PULKKINEN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
BAILEY,JUSTIN,R,56,JUSTIN BAILEY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRANT,DEREK,C,57,DEREK GRANT,61.0,50.0,30.0,19.0,12.0,17.0,20.0,24.0,0.0,55.0,56.0,5.0,0.0,18.0,18.0,14.0,13.0,17.0,20.0,0.0,43.0,43.0,5.0,2.0
WINGELS,TOMMY,C,57,TOMMY WINGELS,38.0,55.0,11.0,5.0,22.0,13.0,14.0,11.0,0.0,29.0,29.0,8.0,1.0,20.0,14.0,21.0,20.0,22.0,13.0,0.0,29.0,31.0,21.0,3.0
VAN RIEMSDYK,TREVOR,D,57,TREVOR VAN RIEMSDYK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYERS,TYLER,D,57,TYLER MYERS,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PERRON,DAVID,L,57,DAVID PERRON,2.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,1.0,5.0,2.0,0.0,6.0,7.0,0.0,1.0
BOURQUE,GABRIEL,L,57,GABRIEL BOURQUE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MILLER,ANDREW,C,58,ANDREW MILLER,13.0,16.0,3.0,7.0,3.0,3.0,7.0,3.0,0.0,13.0,13.0,0.0,0.0,4.0,6.0,6.0,3.0,5.0,8.0,0.0,16.0,16.0,0.0,0.0
CARRICK,CONNOR,D,58,CONNOR CARRICK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAVARD,DAVID,D,58,DAVID SAVARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LETANG,KRIS,D,58,KRIS LETANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYLINGTON,OLIVER,D,58,OLIVER KYLINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEDUN,TAYLOR,D,58,TAYLOR FEDUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIER,TAYLOR,L,58,TAYLOR LEIER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCHALLER,TIM,C,59,TIM SCHALLER,40.0,73.0,11.0,17.0,12.0,13.0,17.0,10.0,0.0,36.0,36.0,4.0,0.0,22.0,32.0,19.0,34.0,23.0,16.0,0.0,64.0,64.0,9.0,0.0
JOSI,ROMAN,D,59,ROMAN JOSI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZIURZYNSKI,DAVE,L,59,DAVE DZIURZYNSKI,3.0,4.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0
BURMISTROV,ALEXANDER,C,6,ALEXANDER BURMISTROV,205.0,307.0,77.0,79.0,49.0,69.0,74.0,58.0,4.0,156.0,164.0,26.0,15.0,103.0,122.0,82.0,107.0,102.0,95.0,3.0,246.0,257.0,29.0,21.0
PETROVIC,ALEX,D,6,ALEX PETROVIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GREENE,ANDY,D,6,ANDY GREENE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STRALMAN,ANTON,D,6,ANTON STRALMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WIDEMAN,DENNIS,D,6,DENNIS WIDEMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCILRATH,DYLAN,D,6,DYLAN MCILRATH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOHNSON,ERIK,D,6,ERIK JOHNSON,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
PATERYN,GREG,D,6,GREG PATERYN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUZZIN,JAKE,D,6,JAKE MUZZIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDMUNDSON,JOEL,D,6,JOEL EDMUNDSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCANDELLA,MARCO,D,6,MARCO SCANDELLA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEBER,MIKE,D,6,MIKE WEBER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PULOCK,RYAN,D,6,RYAN PULOCK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEBER,SHEA,D,6,SHEA WEBER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DALEY,TREVOR,D,6,TREVOR DALEY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
WEBER,YANNICK,D,6,YANNICK WEBER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYAN,BOBBY,R,6,BOBBY RYAN,3.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,7.0,4.0,3.0,1.0,0.0,6.0,8.0,0.0,0.0
GRANLUND,MARKUS,C,60,MARKUS GRANLUND,202.0,270.0,60.0,73.0,69.0,70.0,62.0,70.0,0.0,184.0,190.0,9.0,3.0,72.0,112.0,86.0,83.0,94.0,92.0,1.0,246.0,254.0,8.0,8.0
TREUTLE,NIKLAS,G,60,NIKLAS TREUTLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BENOIT,ANDRE,D,61,ANDRE BENOIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KULAK,BRETT,D,61,BRETT KULAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAUN,JUSTIN,D,61,JUSTIN BRAUN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OUELLET,XAVIER,D,61,XAVIER OUELLET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NASH,RICK,L,61,RICK NASH,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
TOLCHINSKY,SERGEY,L,61,SERGEY TOLCHINSKY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
STONE,MARK,R,61,MARK STONE,8.0,11.0,1.0,1.0,6.0,3.0,3.0,1.0,1.0,5.0,7.0,0.0,1.0,0.0,2.0,9.0,4.0,3.0,4.0,0.0,5.0,5.0,0.0,6.0
SUSTR,ANDREJ,D,62,ANDREJ SUSTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRYBA,ERIC,D,62,ERIC GRYBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TROTMAN,ZACH,D,62,ZACH TROTMAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARCHAND,BRAD,C,63,BRAD MARCHAND,21.0,35.0,2.0,3.0,16.0,5.0,8.0,7.0,1.0,6.0,6.0,2.0,13.0,9.0,5.0,21.0,13.0,14.0,8.0,0.0,11.0,14.0,2.0,19.0
BOLLAND,DAVE,C,63,DAVE BOLLAND,156.0,185.0,68.0,50.0,38.0,45.0,66.0,45.0,0.0,119.0,123.0,18.0,15.0,74.0,65.0,46.0,69.0,68.0,48.0,0.0,141.0,146.0,34.0,5.0
RIBEIRO,MIKE,C,63,MIKE RIBEIRO,288.0,472.0,22.0,126.0,140.0,105.0,101.0,80.0,2.0,240.0,249.0,0.0,39.0,53.0,206.0,213.0,169.0,159.0,140.0,4.0,394.0,404.0,2.0,66.0
ENNIS,TYLER,C,63,TYLER ENNIS,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABRIEL,KURTIS,R,63,KURTIS GABRIEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLANDISI,JOSEPH,C,64,JOSEPH BLANDISI,11.0,22.0,1.0,4.0,6.0,2.0,4.0,4.0,1.0,7.0,10.0,0.0,1.0,3.0,12.0,7.0,10.0,8.0,4.0,0.0,18.0,21.0,0.0,1.0
GRANLUND,MIKAEL,C,64,MIKAEL GRANLUND,528.0,557.0,141.0,186.0,201.0,179.0,183.0,162.0,4.0,429.0,463.0,17.0,48.0,146.0,221.0,190.0,171.0,190.0,186.0,10.0,480.0,508.0,9.0,40.0
HATHAWAY,GARNET,R,64,GARNET HATHAWAY,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0
NOESEN,STEFAN,R,64,STEFAN NOESEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDELL,TYLER,R,64,TYLER RANDELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHAW,ANDREW,C,65,ANDREW SHAW,146.0,168.0,46.0,50.0,50.0,43.0,50.0,52.0,1.0,133.0,138.0,1.0,7.0,69.0,52.0,47.0,50.0,59.0,58.0,1.0,155.0,160.0,0.0,8.0
ELSON,TURNER,C,65,TURNER ELSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOURDE,YANNI,C,65,YANNI GOURDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEKEYSER,DANNY,D,65,DANNY DEKEYSER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KARLSSON,ERIK,D,65,ERIK KARLSSON,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
