last,first,pos,num,comb,GP,TOI,TOI_5v5,corsi_for_5v5,corsi_against_5v5,corsi_5v5,corsi_for,corsi_against,corsi,fenwick_for_5v5,fenwick_against_5v5,fenwick_5v5,fenwick_for,fenwick_against,fenwick,blocks,5v5_block,g_block_5_5v5,b_block_5_5v5,g_block_10_5v5,b_block_10_5v5,g_block_5_ev,b_block_5_ev,g_block_10_ev,b_block_10_ev,g_block_5_pp,b_block_5_pp,g_block_10_pp,b_block_10_pp,g_block_5_sh,b_block_5_sh,g_block_10_sh,b_block_10_sh,hits,5v5_hits,g_hit_5_5v5,b_hit_5_5v5,g_hit_10_5v5,b_hit_10_5v5,g_hit_5_ev,b_hit_5_ev,g_hit_10_ev,b_hit_10_ev,g_hit_5_pp,b_hit_5_pp,g_hit_10_pp,b_hit_10_pp,g_hit_5_sh,b_hit_5_sh,g_hit_10_sh,b_hit_10_sh
STALBERG,VIKTOR,L,25,VIKTOR STALBERG,75.0,915:14,799:01,683.0,755.0,-72.0,731.0,938.0,-207.0,522.0,551.0,-29.0,563.0,687.0,-124.0,33.0,22.0,22.0,0.0,22.0,0.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,144.0,138.0,138.0,0.0,138.0,0.0,139.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0
RITCHIE,BRETT,R,25,BRETT RITCHIE,8.0,92:49,81:56,71.0,78.0,-7.0,94.0,83.0,11.0,56.0,51.0,5.0,77.0,54.0,23.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEIL,CHRIS,R,25,CHRIS NEIL,80.0,743:51,731:27,629.0,632.0,-3.0,635.0,644.0,-9.0,459.0,485.0,-26.0,462.0,496.0,-34.0,12.0,12.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,214.0,214.0,0.0,214.0,0.0,214.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
WINNIK,DANIEL,C,26,DANIEL WINNIK,76.0,1042:24,866:33,785.0,771.0,14.0,865.0,989.0,-124.0,574.0,589.0,-15.0,634.0,750.0,-116.0,46.0,31.0,31.0,0.0,31.0,0.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,14.0,0.0,53.0,52.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
STASTNY,PAUL,C,26,PAUL STASTNY,64.0,1225:24,914:14,952.0,835.0,117.0,1303.0,1094.0,209.0,716.0,623.0,93.0,999.0,808.0,191.0,40.0,31.0,31.0,0.0,31.0,0.0,36.0,0.0,36.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,32.0,26.0,26.0,0.0,26.0,0.0,27.0,0.0,27.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0
PETRY,JEFF,D,26,JEFF PETRY,51.0,1088:43,840:02,827.0,689.0,138.0,1040.0,936.0,104.0,588.0,500.0,88.0,735.0,675.0,60.0,73.0,56.0,55.0,1.0,55.0,1.0,59.0,1.0,59.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,86.0,71.0,71.0,0.0,71.0,0.0,74.0,0.0,74.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,11.0,0.0
LILES,JOHN-MICHAEL,D,26,JOHN-MICHAEL LILES,81.0,1644:36,1322:42,1193.0,1112.0,81.0,1518.0,1372.0,146.0,895.0,847.0,48.0,1146.0,1036.0,110.0,127.0,100.0,99.0,1.0,98.0,2.0,107.0,1.0,106.0,2.0,3.0,0.0,3.0,0.0,16.0,0.0,16.0,0.0,81.0,66.0,66.0,0.0,66.0,0.0,70.0,0.0,70.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,8.0,0.0
STONE,MICHAEL,D,26,MICHAEL STONE,75.0,1697:48,1239:09,1100.0,1228.0,-128.0,1568.0,1611.0,-43.0,818.0,936.0,-118.0,1162.0,1232.0,-70.0,143.0,106.0,106.0,0.0,106.0,0.0,108.0,0.0,108.0,0.0,2.0,0.0,2.0,0.0,33.0,0.0,33.0,0.0,137.0,118.0,118.0,0.0,118.0,0.0,125.0,0.0,125.0,0.0,3.0,0.0,3.0,0.0,9.0,0.0,9.0,0.0
WOTHERSPOON,TYLER,D,26,TYLER WOTHERSPOON,11.0,155:52,141:07,134.0,117.0,17.0,135.0,143.0,-8.0,86.0,78.0,8.0,87.0,96.0,-9.0,16.0,15.0,14.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,14.0,13.0,13.0,0.0,13.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
HAGELIN,CARL,L,26,CARL HAGELIN,80.0,1256:33,1057:43,1110.0,878.0,232.0,1238.0,1092.0,146.0,835.0,638.0,197.0,934.0,789.0,145.0,33.0,25.0,25.0,0.0,25.0,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,84.0,79.0,79.0,0.0,79.0,0.0,81.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
MOULSON,MATT,L,26,MATT MOULSON,81.0,963:22,795:43,664.0,688.0,-24.0,924.0,724.0,200.0,509.0,531.0,-22.0,708.0,562.0,146.0,23.0,22.0,22.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,43.0,43.0,0.0,43.0,0.0,43.0,0.0,43.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
PUEMPEL,MATT,L,26,MATT PUEMPEL,26.0,294:47,278:06,230.0,311.0,-81.0,256.0,322.0,-66.0,167.0,239.0,-72.0,180.0,246.0,-66.0,10.0,9.0,9.0,0.0,9.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,0.0,18.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELIAS,PATRIK,L,26,PATRIK ELIAS,16.0,246:59,170:23,114.0,115.0,-1.0,186.0,158.0,28.0,86.0,90.0,-4.0,145.0,119.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VANEK,THOMAS,L,26,THOMAS VANEK,74.0,1152:42,901:14,762.0,900.0,-138.0,1159.0,979.0,180.0,556.0,674.0,-118.0,835.0,733.0,102.0,17.0,15.0,15.0,0.0,15.0,0.0,16.0,0.0,16.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,15.0,15.0,0.0,15.0,0.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WHEELER,BLAKE,R,26,BLAKE WHEELER,82.0,1621:49,1153:09,1224.0,996.0,228.0,1837.0,1333.0,504.0,920.0,753.0,167.0,1365.0,1022.0,343.0,56.0,39.0,39.0,0.0,39.0,0.0,51.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,92.0,82.0,82.0,0.0,82.0,0.0,85.0,0.0,85.0,0.0,3.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0
