last,first,pos,num,comb,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
KRUG,TOREY,D,47,TOREY KRUG,98.0,1.0,1.0,96.0,33.0,37.0,28.0,0.0,58.0,61.0,37.0,0.0,401.0,244.0,303.0,259.0,81.0,10.0,7.0,46.0,37.0,10.0,2.0,0.0,3.0,0.0,0.0
BOGOSIAN,ZACH,D,47,ZACH BOGOSIAN,39.0,1.0,0.0,38.0,3.0,13.0,21.0,2.0,28.0,33.0,5.0,1.0,239.0,197.0,289.0,243.0,38.0,1.0,0.0,9.0,23.0,5.0,1.0,0.0,1.0,0.0,0.0
BAERTSCHI,SVEN,L,47,SVEN BAERTSCHI,44.0,1.0,0.0,43.0,12.0,9.0,19.0,4.0,27.0,33.0,11.0,0.0,167.0,123.0,182.0,170.0,36.0,6.0,2.0,23.0,4.0,4.0,4.0,6.0,3.0,0.0,0.0
SESTITO,TOM,L,47,TOM SESTITO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VERMIN,JOEL,R,47,JOEL VERMIN,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,12.0,10.0,12.0,12.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SUTTER,BRODY,C,48,BRODY SUTTER,3.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,8.0,8.0,17.0,17.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
SHINKARUK,HUNTER,C,48,HUNTER SHINKARUK,7.0,0.0,1.0,6.0,2.0,3.0,2.0,0.0,7.0,7.0,0.0,0.0,25.0,23.0,31.0,31.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
HERTL,TOMAS,C,48,TOMAS HERTL,66.0,0.0,1.0,65.0,22.0,26.0,17.0,1.0,53.0,57.0,8.0,1.0,278.0,232.0,196.0,182.0,50.0,11.0,5.0,29.0,2.0,6.0,6.0,9.0,14.0,0.0,0.0
KENNEDY,TYLER,C,48,TYLER KENNEDY,22.0,0.0,0.0,22.0,9.0,4.0,9.0,0.0,19.0,19.0,3.0,0.0,124.0,95.0,84.0,80.0,20.0,2.0,0.0,10.0,3.0,5.0,1.0,0.0,3.0,0.0,0.0
HINOSTROZA,VINCENT,C,48,VINCENT HINOSTROZA,3.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,7.0,6.0,8.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
CAMPBELL,ANDREW,D,48,ANDREW CAMPBELL,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,17.0,17.0,19.0,19.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
MILLER,COLIN,D,48,COLIN MILLER,29.0,0.0,0.0,29.0,10.0,11.0,7.0,1.0,23.0,23.0,6.0,0.0,154.0,118.0,118.0,109.0,27.0,1.0,1.0,9.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0
LINDBOHM,PETTERI,D,48,PETTERI LINDBOHM,5.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,5.0,5.0,0.0,0.0,34.0,34.0,18.0,17.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARTINOOK,JORDAN,L,48,JORDAN MARTINOOK,53.0,1.0,0.0,52.0,14.0,18.0,21.0,0.0,47.0,47.0,3.0,3.0,189.0,171.0,294.0,206.0,43.0,6.0,4.0,32.0,3.0,4.0,2.0,5.0,7.0,0.0,0.0
SHAW,LOGAN,R,48,LOGAN SHAW,25.0,0.0,0.0,25.0,10.0,8.0,7.0,0.0,22.0,22.0,2.0,1.0,105.0,82.0,141.0,127.0,21.0,2.0,2.0,7.0,9.0,4.0,1.0,1.0,3.0,0.0,0.0
SIMON,DOMINIK,C,49,DOMINIK SIMON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASK,VICTOR,C,49,VICTOR RASK,75.0,1.0,0.0,74.0,30.0,24.0,20.0,1.0,56.0,62.0,13.0,0.0,321.0,218.0,254.0,225.0,67.0,3.0,5.0,33.0,4.0,19.0,9.0,4.0,4.0,0.0,2.0
CLAESSON,FREDRIK,D,49,FREDRIK CLAESSON,6.0,0.0,0.0,6.0,1.0,3.0,2.0,0.0,6.0,6.0,0.0,0.0,50.0,48.0,65.0,51.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIGHTON,MICHAEL,G,49,MICHAEL LEIGHTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEIPSIC,BRENDAN,L,49,BRENDAN LEIPSIC,4.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,25.0,20.0,18.0,18.0,4.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
TANGRADI,ERIC,L,49,ERIC TANGRADI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MERSCH,MICHAEL,L,49,MICHAEL MERSCH,9.0,0.0,0.0,9.0,4.0,3.0,2.0,0.0,8.0,8.0,1.0,0.0,37.0,33.0,47.0,42.0,8.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
GALIEV,STANISLAV,R,49,STANISLAV GALIEV,16.0,0.0,1.0,15.0,4.0,4.0,8.0,0.0,13.0,13.0,3.0,0.0,48.0,39.0,40.0,39.0,12.0,3.0,1.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0
EKBLAD,AARON,D,5,AARON EKBLAD,58.0,0.0,2.0,56.0,15.0,26.0,16.0,1.0,40.0,43.0,15.0,0.0,308.0,222.0,283.0,241.0,53.0,2.0,3.0,17.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0
LARSSON,ADAM,D,5,ADAM LARSSON,38.0,0.0,2.0,36.0,9.0,17.0,12.0,0.0,35.0,37.0,0.0,1.0,215.0,194.0,333.0,229.0,33.0,5.0,0.0,11.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0
JACKMAN,BARRET,D,5,BARRET JACKMAN,29.0,0.0,0.0,29.0,7.0,8.0,14.0,0.0,28.0,28.0,0.0,1.0,195.0,192.0,141.0,119.0,25.0,3.0,1.0,12.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
RUHWEDEL,CHAD,D,5,CHAD RUHWEDEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOLIN,CHRISTIAN,D,5,CHRISTIAN FOLIN,5.0,0.0,0.0,5.0,2.0,1.0,2.0,0.0,4.0,5.0,0.0,0.0,59.0,55.0,90.0,66.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CECI,CODY,D,5,CODY CECI,44.0,1.0,1.0,42.0,20.0,12.0,12.0,0.0,36.0,40.0,3.0,1.0,241.0,209.0,300.0,225.0,33.0,9.0,2.0,24.0,14.0,5.0,0.0,0.0,1.0,0.0,0.0
MURPHY,CONNOR,D,5,CONNOR MURPHY,51.0,0.0,2.0,49.0,17.0,18.0,16.0,0.0,45.0,48.0,3.0,0.0,283.0,238.0,365.0,282.0,44.0,4.0,3.0,29.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0
GIRARDI,DAN,D,5,DAN GIRARDI,29.0,0.0,0.0,29.0,12.0,9.0,8.0,0.0,26.0,29.0,0.0,0.0,225.0,208.0,379.0,299.0,25.0,2.0,2.0,9.0,14.0,1.0,1.0,1.0,3.0,0.0,0.0
RUNDBLAD,DAVID,D,5,DAVID RUNDBLAD,5.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0,5.0,5.0,0.0,0.0,21.0,18.0,16.0,14.0,4.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
MCBAIN,JAMIE,D,5,JAMIE MCBAIN,19.0,0.0,0.0,19.0,2.0,8.0,9.0,0.0,15.0,16.0,3.0,0.0,151.0,129.0,87.0,82.0,18.0,1.0,0.0,5.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
OLEKSIAK,JAMIE,D,5,JAMIE OLEKSIAK,6.0,0.0,0.0,6.0,2.0,2.0,2.0,0.0,6.0,6.0,0.0,0.0,52.0,49.0,45.0,40.0,3.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
GARRISON,JASON,D,5,JASON GARRISON,47.0,1.0,0.0,46.0,10.0,16.0,20.0,1.0,38.0,41.0,4.0,2.0,253.0,227.0,293.0,229.0,41.0,5.0,1.0,18.0,23.0,2.0,3.0,0.0,0.0,0.0,1.0
HOLZER,KORBINIAN,D,5,KORBINIAN HOLZER,11.0,0.0,0.0,11.0,5.0,1.0,5.0,0.0,11.0,11.0,0.0,0.0,83.0,80.0,82.0,77.0,11.0,0.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
SBISA,LUCA,D,5,LUCA SBISA,10.0,0.0,1.0,9.0,4.0,4.0,2.0,0.0,10.0,10.0,0.0,0.0,97.0,89.0,163.0,136.0,8.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
FAYNE,MARK,D,5,MARK FAYNE,33.0,1.0,0.0,32.0,9.0,12.0,12.0,0.0,32.0,32.0,0.0,1.0,194.0,189.0,236.0,191.0,27.0,6.0,0.0,16.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
GIORDANO,MARK,D,5,MARK GIORDANO,84.0,0.0,0.0,84.0,29.0,30.0,23.0,2.0,52.0,59.0,23.0,2.0,387.0,268.0,415.0,303.0,64.0,14.0,6.0,52.0,17.0,10.0,2.0,0.0,2.0,0.0,1.0
STUART,MARK,D,5,MARK STUART,25.0,0.0,0.0,25.0,7.0,11.0,7.0,0.0,25.0,25.0,0.0,0.0,157.0,150.0,241.0,159.0,23.0,2.0,0.0,9.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0
GUENIN,NATE,D,5,NATE GUENIN,6.0,1.0,1.0,4.0,2.0,3.0,1.0,0.0,6.0,6.0,0.0,0.0,46.0,45.0,103.0,85.0,5.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
HANIFIN,NOAH,D,5,NOAH HANIFIN,57.0,0.0,1.0,56.0,10.0,27.0,19.0,1.0,42.0,44.0,13.0,0.0,308.0,231.0,288.0,265.0,48.0,8.0,1.0,12.0,24.0,16.0,4.0,0.0,0.0,0.0,1.0
VERMETTE,ANTOINE,C,50,ANTOINE VERMETTE,33.0,0.0,1.0,32.0,5.0,17.0,9.0,2.0,25.0,26.0,6.0,1.0,245.0,173.0,258.0,199.0,29.0,3.0,1.0,12.0,6.0,3.0,5.0,2.0,5.0,0.0,0.0
GAUNCE,BRENDAN,C,50,BRENDAN GAUNCE,9.0,0.0,0.0,9.0,4.0,3.0,2.0,0.0,8.0,9.0,0.0,0.0,43.0,39.0,48.0,41.0,6.0,2.0,1.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
TIERNEY,CHRIS,C,50,CHRIS TIERNEY,30.0,0.0,0.0,30.0,10.0,6.0,14.0,0.0,28.0,28.0,0.0,2.0,171.0,157.0,209.0,149.0,27.0,1.0,2.0,15.0,2.0,2.0,3.0,4.0,4.0,0.0,0.0
PELECH,ADAM,D,50,ADAM PELECH,2.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,21.0,21.0,30.0,22.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIELOFF,PATRICK,D,50,PATRICK SIELOFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PERCY,STUART,D,50,STUART PERCY,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,7.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRAWFORD,COREY,G,50,COREY CRAWFORD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,457.0,578.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUSTAVSSON,JONAS,G,50,JONAS GUSTAVSSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,160.0,242.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BINNINGTON,JORDAN,G,50,JORDAN BINNINGTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUDLEVSKIS,KRISTERS,G,50,KRISTERS GUDLEVSKIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIEUWEN,NATHAN,G,50,NATHAN LIEUWEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MICHALEK,STEVE,G,50,STEVE MICHALEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LANDER,ANTON,C,51,ANTON LANDER,16.0,1.0,0.0,15.0,6.0,5.0,5.0,0.0,13.0,13.0,1.0,2.0,126.0,106.0,183.0,126.0,14.0,0.0,2.0,3.0,5.0,2.0,3.0,1.0,2.0,0.0,0.0
DESHARNAIS,DAVID,C,51,DAVID DESHARNAIS,21.0,1.0,0.0,20.0,3.0,12.0,5.0,1.0,18.0,20.0,1.0,0.0,208.0,148.0,162.0,142.0,18.0,2.0,1.0,8.0,2.0,5.0,4.0,0.0,1.0,0.0,1.0
NIELSEN,FRANS,C,51,FRANS NIELSEN,71.0,2.0,0.0,69.0,30.0,20.0,20.0,1.0,46.0,50.0,20.0,1.0,289.0,198.0,240.0,171.0,63.0,6.0,2.0,38.0,4.0,9.0,7.0,1.0,12.0,0.0,0.0
SPOONER,RYAN,C,51,RYAN SPOONER,56.0,1.0,1.0,54.0,17.0,24.0,14.0,1.0,32.0,37.0,19.0,0.0,271.0,144.0,242.0,220.0,46.0,5.0,5.0,39.0,6.0,4.0,5.0,0.0,2.0,0.0,0.0
KALININ,SERGEY,C,51,SERGEY KALININ,30.0,0.0,0.0,30.0,12.0,10.0,8.0,0.0,22.0,23.0,6.0,1.0,173.0,144.0,159.0,148.0,27.0,1.0,2.0,7.0,3.0,7.0,5.0,0.0,7.0,0.0,1.0
FILPPULA,VALTTERI,C,51,VALTTERI FILPPULA,28.0,0.0,0.0,28.0,9.0,7.0,10.0,2.0,14.0,17.0,9.0,2.0,282.0,188.0,257.0,178.0,19.0,8.0,1.0,16.0,4.0,2.0,2.0,0.0,4.0,0.0,0.0
CAMPBELL,BRIAN,D,51,BRIAN CAMPBELL,44.0,1.0,0.0,43.0,18.0,10.0,16.0,0.0,30.0,31.0,12.0,1.0,337.0,245.0,289.0,232.0,38.0,2.0,4.0,9.0,27.0,7.0,1.0,0.0,0.0,0.0,0.0
POULIOT,DERRICK,D,51,DERRICK POULIOT,10.0,0.0,0.0,10.0,3.0,5.0,2.0,0.0,8.0,8.0,1.0,1.0,72.0,64.0,48.0,45.0,8.0,2.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
TYUTIN,FEDOR,D,51,FEDOR TYUTIN,20.0,1.0,0.0,19.0,7.0,6.0,7.0,0.0,19.0,19.0,0.0,1.0,184.0,169.0,202.0,150.0,20.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0
GARDINER,JAKE,D,51,JAKE GARDINER,86.0,0.0,0.0,86.0,25.0,31.0,30.0,0.0,61.0,65.0,21.0,0.0,422.0,300.0,303.0,267.0,79.0,5.0,2.0,40.0,35.0,7.0,1.0,1.0,1.0,0.0,1.0
WATSON,AUSTIN,L,51,AUSTIN WATSON,16.0,0.0,2.0,14.0,5.0,6.0,5.0,0.0,15.0,16.0,0.0,0.0,73.0,71.0,104.0,86.0,14.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,3.0,0.0,0.0
AGOSTINO,KENNY,L,51,KENNY AGOSTINO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLLOWAY,BUD,C,52,BUD HOLLOWAY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUSINS,NICK,C,52,NICK COUSINS,11.0,0.0,0.0,11.0,4.0,3.0,3.0,1.0,10.0,10.0,1.0,0.0,75.0,71.0,61.0,58.0,9.0,2.0,0.0,5.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
GUSTAFSSON,ERIK,D,52,ERIK GUSTAFSSON,24.0,0.0,3.0,21.0,13.0,5.0,6.0,0.0,20.0,21.0,3.0,0.0,112.0,90.0,104.0,97.0,23.0,1.0,0.0,7.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
ERICSSON,JONATHAN,D,52,JONATHAN ERICSSON,42.0,0.0,0.0,42.0,13.0,16.0,13.0,0.0,41.0,41.0,1.0,0.0,199.0,189.0,273.0,198.0,37.0,4.0,1.0,16.0,21.0,3.0,1.0,0.0,1.0,0.0,0.0
MARINCIN,MARTIN,D,52,MARTIN MARINCIN,34.0,0.0,0.0,34.0,13.0,10.0,11.0,0.0,34.0,34.0,0.0,0.0,211.0,205.0,223.0,175.0,30.0,4.0,0.0,13.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
IRWIN,MATT,D,52,MATT IRWIN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,6.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLLIG,BRANDON,L,52,BRANDON BOLLIG,23.0,0.0,2.0,21.0,10.0,10.0,3.0,0.0,23.0,23.0,0.0,0.0,77.0,76.0,109.0,107.0,19.0,4.0,0.0,12.0,1.0,7.0,2.0,0.0,1.0,0.0,0.0
JOHNSTON,ROSS,L,52,ROSS JOHNSTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FASCHING,HUDSON,R,52,HUDSON FASCHING,5.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,5.0,5.0,0.0,0.0,16.0,16.0,10.0,10.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
HORVAT,BO,C,53,BO HORVAT,43.0,1.0,0.0,42.0,16.0,10.0,16.0,1.0,32.0,34.0,8.0,1.0,212.0,150.0,286.0,207.0,34.0,8.0,1.0,22.0,4.0,6.0,5.0,4.0,1.0,0.0,1.0
CIZIKAS,CASEY,C,53,CASEY CIZIKAS,34.0,0.0,0.0,34.0,9.0,15.0,10.0,0.0,34.0,34.0,0.0,0.0,152.0,147.0,196.0,134.0,26.0,6.0,2.0,20.0,5.0,3.0,1.0,1.0,4.0,0.0,0.0
KNIGHT,CORBAN,C,53,CORBAN KNIGHT,6.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,31.0,31.0,28.0,28.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
SKINNER,JEFF,C,53,JEFF SKINNER,81.0,0.0,2.0,79.0,23.0,17.0,38.0,3.0,66.0,72.0,9.0,0.0,303.0,221.0,247.0,223.0,70.0,6.0,5.0,31.0,12.0,21.0,6.0,7.0,4.0,0.0,0.0
CARRICK,SAM,C,53,SAM CARRICK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COLLINS,SEAN,C,53,SEAN COLLINS,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
GRIFFITH,SETH,C,53,SETH GRIFFITH,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,6.0,12.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRAVEL,KEVIN,D,53,KEVIN GRAVEL,6.0,0.0,0.0,6.0,2.0,1.0,3.0,0.0,5.0,6.0,0.0,0.0,14.0,11.0,7.0,7.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
WITKOWSKI,LUKE,D,53,LUKE WITKOWSKI,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,10.0,6.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
GOSTISBEHERE,SHAYNE,D,53,SHAYNE GOSTISBEHERE,79.0,0.0,0.0,79.0,24.0,28.0,22.0,5.0,40.0,47.0,31.0,1.0,303.0,177.0,204.0,174.0,67.0,7.0,5.0,20.0,49.0,8.0,2.0,0.0,0.0,0.0,0.0
THEODORE,SHEA,D,53,SHEA THEODORE,12.0,0.0,0.0,12.0,4.0,1.0,7.0,0.0,9.0,9.0,2.0,1.0,78.0,53.0,71.0,58.0,9.0,1.0,2.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
MOZIK,VOJTECH,D,53,VOJTECH MOZIK,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,16.0,16.0,13.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MASHINTER,BRANDON,L,53,BRANDON MASHINTER,7.0,0.0,0.0,7.0,0.0,3.0,4.0,0.0,7.0,7.0,0.0,0.0,40.0,39.0,54.0,52.0,7.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
LESSIO,LUCAS,L,53,LUCAS LESSIO,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,15.0,15.0,15.0,15.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAUTHIER,FREDERIK,C,54,FREDERIK GAUTHIER,4.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,4.0,4.0,0.0,0.0,14.0,14.0,26.0,17.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
MCQUAID,ADAM,D,54,ADAM MCQUAID,17.0,0.0,0.0,17.0,9.0,3.0,5.0,0.0,17.0,17.0,0.0,0.0,174.0,161.0,262.0,179.0,17.0,0.0,0.0,8.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0
PESCE,BRETT,D,54,BRETT PESCE,44.0,0.0,2.0,42.0,16.0,14.0,13.0,1.0,36.0,37.0,7.0,0.0,244.0,210.0,280.0,238.0,36.0,7.0,1.0,12.0,21.0,10.0,0.0,0.0,1.0,0.0,0.0
HUDON,CHARLES,L,54,CHARLES HUDON,4.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,0.0,8.0,7.0,4.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KHAIRA,JUJHAR,L,54,JUJHAR KHAIRA,6.0,0.0,0.0,6.0,4.0,0.0,2.0,0.0,6.0,6.0,0.0,0.0,19.0,19.0,30.0,30.0,4.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
BULMER,BRETT,R,54,BRETT BULMER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LETESTU,MARK,C,55,MARK LETESTU,45.0,0.0,0.0,45.0,13.0,22.0,10.0,0.0,25.0,27.0,17.0,1.0,221.0,149.0,266.0,177.0,39.0,3.0,3.0,16.0,10.0,7.0,2.0,0.0,10.0,0.0,0.0
SCHEIFELE,MARK,C,55,MARK SCHEIFELE,69.0,0.0,0.0,69.0,23.0,23.0,22.0,1.0,56.0,60.0,9.0,0.0,313.0,234.0,207.0,179.0,53.0,9.0,7.0,35.0,4.0,9.0,5.0,11.0,5.0,0.0,0.0
ACCIARI,NOEL,C,55,NOEL ACCIARI,6.0,0.0,0.0,6.0,3.0,1.0,2.0,0.0,6.0,6.0,0.0,0.0,18.0,17.0,35.0,26.0,6.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
NESS,AARON,D,55,AARON NESS,5.0,0.0,0.0,5.0,1.0,3.0,1.0,0.0,5.0,5.0,0.0,0.0,18.0,18.0,26.0,25.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
BIEGA,ALEX,D,55,ALEX BIEGA,15.0,0.0,0.0,15.0,6.0,4.0,5.0,0.0,14.0,14.0,1.0,0.0,110.0,109.0,179.0,163.0,13.0,1.0,1.0,7.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0
COBURN,BRAYDON,D,55,BRAYDON COBURN,44.0,0.0,4.0,40.0,15.0,11.0,18.0,0.0,44.0,44.0,0.0,0.0,220.0,215.0,283.0,197.0,34.0,8.0,2.0,17.0,19.0,4.0,2.0,1.0,1.0,0.0,0.0
