last,first,pos,num,comb,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
MAYFIELD,SCOTT,D,42,SCOTT MAYFIELD,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,14.0,14.0,16.0,14.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SLEPYSHEV,ANTON,L,42,ANTON SLEPYSHEV,4.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,4.0,4.0,0.0,0.0,13.0,13.0,21.0,20.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
SELLECK,ERIC,L,42,ERIC SELLECK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BACKES,DAVID,R,42,DAVID BACKES,60.0,0.0,2.0,58.0,20.0,21.0,18.0,1.0,46.0,51.0,7.0,2.0,312.0,209.0,262.0,184.0,49.0,9.0,2.0,33.0,4.0,3.0,3.0,4.0,11.0,0.0,2.0
WARD,JOEL,R,42,JOEL WARD,58.0,0.0,1.0,57.0,24.0,17.0,16.0,1.0,41.0,44.0,12.0,2.0,290.0,200.0,199.0,150.0,52.0,5.0,1.0,25.0,5.0,5.0,3.0,8.0,12.0,0.0,0.0
ANDRIGHETTO,SVEN,R,42,SVEN ANDRIGHETTO,27.0,0.0,0.0,27.0,10.0,9.0,8.0,0.0,24.0,24.0,3.0,0.0,146.0,119.0,83.0,82.0,24.0,3.0,0.0,21.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0
CATENACCI,DANIEL,C,43,DANIEL CATENACCI,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,12.0,25.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HELM,DARREN,C,43,DARREN HELM,59.0,0.0,1.0,58.0,17.0,19.0,22.0,1.0,43.0,48.0,5.0,6.0,208.0,172.0,233.0,169.0,50.0,7.0,2.0,28.0,4.0,15.0,5.0,4.0,3.0,0.0,0.0
KADRI,NAZEM,C,43,NAZEM KADRI,96.0,0.0,2.0,94.0,31.0,32.0,29.0,4.0,69.0,84.0,12.0,0.0,410.0,270.0,275.0,242.0,80.0,9.0,7.0,54.0,3.0,15.0,8.0,3.0,13.0,0.0,0.0
DZINGEL,RYAN,C,43,RYAN DZINGEL,9.0,0.0,0.0,9.0,2.0,4.0,2.0,1.0,8.0,9.0,0.0,0.0,40.0,38.0,58.0,55.0,7.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SVEDBERG,VIKTOR,D,43,VIKTOR SVEDBERG,14.0,0.0,1.0,13.0,3.0,8.0,3.0,0.0,14.0,14.0,0.0,0.0,63.0,60.0,79.0,74.0,14.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
SHEARY,CONOR,L,43,CONOR SHEARY,14.0,0.0,0.0,14.0,6.0,8.0,0.0,0.0,13.0,13.0,1.0,0.0,88.0,78.0,61.0,60.0,12.0,1.0,1.0,8.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
CARR,DANIEL,L,43,DANIEL CARR,22.0,0.0,0.0,22.0,5.0,8.0,9.0,0.0,17.0,19.0,3.0,0.0,62.0,47.0,49.0,47.0,19.0,2.0,1.0,8.0,2.0,3.0,1.0,1.0,7.0,0.0,0.0
FRIBERG,MAX,L,43,MAX FRIBERG,3.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,6.0,6.0,12.0,11.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
HARTNELL,SCOTT,L,43,SCOTT HARTNELL,49.0,0.0,0.0,49.0,15.0,21.0,13.0,0.0,32.0,34.0,15.0,0.0,270.0,188.0,209.0,192.0,44.0,2.0,3.0,5.0,3.0,15.0,2.0,6.0,18.0,0.0,0.0
