,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60,b_hit_shot_5_5v5/60,5v5_give/60_scaled,b_hit_shot_5_5v5/60_scaled
555,ELLIS,RYAN,D,4,79.0,27.5127777778,21.9041666667,56.0623929998,46.7490964428,9.31329655697,41.1793798745,34.7879018452,6.39147802929,3.24139242914,3.19573901465,0.045653414495,3.19573901465,0.045653414495,3.6066197451,2.64789804071,2.64789804071,0.0,2.64789804071,0.0,0.27392048697,4.5653414495,0.913068289899,0.684801217424,0.045653414495,-1.35141303765,-0.227016582758
556,CHORNEY,TAYLOR,D,4,55.0,12.0916666667,10.8963888889,51.4849465929,54.6052463864,-3.12029979351,38.2695592322,41.0227649323,-2.75320570016,4.12980855023,3.94626150356,0.183547046677,3.85448798022,0.275320570016,4.03803502689,4.68044969026,4.68044969026,0.0,4.58867616693,0.0917735233385,0.0917735233385,2.47788513014,2.20256456012,0.734188186708,0.183547046677,0.677183090128,1.80354720342
557,BARRIE,TYSON,D,4,78.0,30.1497222222,23.9225,50.4127913053,62.8278817013,-12.4150903961,37.3706761417,47.3612707702,-9.99059462849,3.05152053506,3.0097188839,0.0418016511652,3.0097188839,0.0418016511652,3.05152053506,1.37945448845,1.33765283729,0.0418016511652,1.33765283729,0.0418016511652,0.376214860487,4.01295851186,1.9228759536,1.0868429303,0.0836033023304,0.237185521094,0.331817546918
558,MICHALEK,ZBYNEK,D,4,70.0,19.8,15.8619444444,46.5264522004,59.3243787542,-12.7979265538,34.4220093515,43.2481655955,-8.82615624398,5.67395758542,5.61091361224,0.0630439731713,5.61091361224,0.0630439731713,5.67395758542,4.53916606833,4.53916606833,0.0,4.53916606833,0.0,0.126087946343,3.97177030979,1.38696740977,0.819571651227,0.0630439731713,-0.60588942372,0.0290694896062
582,BORTUZZO,ROBERT,D,41,40.0,8.84611111111,8.11055555556,56.0997328584,46.3593396808,9.74039317761,43.8934173574,33.659839715,10.2335776423,4.68525241455,4.68525241455,0.0,4.68525241455,0.0,4.68525241455,10.6034659908,10.6034659908,0.0,10.6034659908,0.0,0.246592232345,5.42502911158,0.986368929379,0.616480580862,0.0,-1.23609871154,-0.899289614674
595,MANSON,JOSH,D,42,71.0,22.2258333333,18.9611111111,57.2223849985,43.4046293583,13.8177556402,43.5628479344,32.3820685614,11.180779373,2.00410196308,2.00410196308,0.0,1.95136243774,0.0527395253443,2.21506006446,6.96161734544,6.96161734544,0.0,6.85613829476,0.105479050689,0.210958101377,3.84998535013,2.00410196308,0.685613829476,0.0,0.3649677971,-0.899289614674
606,SVEDBERG,VIKTOR,D,43,27.0,7.08888888889,6.47083333333,53.9343206697,59.4977462975,-5.56342562782,38.7894397939,45.7437218287,-6.95428203477,3.55441081777,3.55441081777,0.0,3.55441081777,0.0,3.55441081777,1.54539600773,1.54539600773,0.0,1.54539600773,0.0,0.309079201545,5.71796522859,1.54539600773,0.772698003863,0.0,-0.356654394687,-0.899289614674
617,ORPIK,BROOKS,D,44,41.0,13.5372222222,11.5244444444,60.7404550713,55.1002699576,5.64018511377,45.0347088315,39.7416120324,5.29309679907,7.72271500193,7.72271500193,0.0,7.72271500193,0.0,7.89625915927,9.71847281142,9.63170073274,0.0867720786734,9.54492865407,0.173544157347,0.26031623602,2.25607404551,1.64866949479,0.433860393367,0.0867720786734,-0.194187700674,0.378479618157
618,DE HAAN,CALVIN,D,44,72.0,24.7594444444,20.7436111111,55.9690399989,54.1371506622,1.83188933674,41.4103405332,37.2644857185,4.14585481474,6.89368881985,6.84548120573,0.0482076141248,6.7972735916,0.0964152282497,7.42397257522,5.20642232548,5.20642232548,0.0,5.15821471136,0.0482076141248,0.0964152282497,4.04943958649,2.45858832037,0.626698983623,0.0482076141248,1.07995184614,-0.189404510402
620,SEIDENBERG,DENNIS,D,44,61.0,19.7208333333,16.8275,51.998217204,58.3568563364,-6.35863913237,39.9346308127,43.5596493834,-3.62501857079,5.11068191948,5.11068191948,0.0,5.11068191948,0.0,5.34838805527,6.95290447185,6.8934779379,0.0594265339474,6.8934779379,0.0594265339474,0.0594265339474,3.387312435,1.129104145,0.713118407369,0.0594265339474,-1.01155203204,-0.0241994030212
621,GELINAS,ERIC,D,44,40.0,9.22305555556,8.1175,47.921157992,46.0732984293,1.84785956267,36.5876193409,34.3701878657,2.21743147521,2.83338466277,2.83338466277,0.0,2.83338466277,0.0,2.83338466277,7.39143825069,7.39143825069,0.0,7.39143825069,0.0,0.0,5.297197413,1.97105020018,0.862334462581,0.0,0.312971773708,-0.899289614674
622,GUDBRANSON,ERIK,D,44,64.0,21.4533333333,16.9452777778,47.3288198941,54.5874793043,-7.25865941019,37.0604724358,43.7880104257,-6.72753798993,2.65560710129,2.65560710129,0.0,2.65560710129,0.0,2.71462059243,7.55372686589,7.55372686589,0.0,7.49471337475,0.0590134911398,0.11802698228,3.77686343295,1.00322934938,0.590134911398,0.0,-1.20957441403,-0.899289614674
