,last,first,pos,num,GP,TOI,TOI_5v5,corsi_for_5v5/60,corsi_against_5v5/60,corsi_5v5/60,fenwick_for_5v5/60,fenwick_against_5v5/60,fenwick_5v5/60,5v5_block/60,g_block_5_5v5/60,b_block_5_5v5/60,g_block_10_5v5/60,b_block_10_5v5/60,g_block_5_ev/60,5v5_hits/60,g_hit_5_5v5/60,b_hit_5_5v5/60,g_hit_10_5v5/60,b_hit_10_5v5/60,5v5_goal/60,5v5_shot/60,5v5_give/60,5v5_take/60,b_hit_shot_5_5v5/60,5v5_give/60_scaled,b_hit_shot_5_5v5/60_scaled
706,GIORDANO,MARK,D,5,82.0,33.8558333333,24.6458333333,55.1411665258,54.5325443787,0.608622147084,39.5198647506,39.5604395604,-0.0405748098056,5.72104818259,5.72104818259,0.0,5.72104818259,0.0,6.16737109045,2.39391377853,2.39391377853,0.0,2.39391377853,0.0,0.405748098056,5.15300084531,1.90701606086,1.29839391378,0.0,0.212235222487,-0.899289614674
707,STUART,MARK,D,5,64.0,17.44,14.095,48.7406881873,55.0549840369,-6.31429584959,36.1120964881,38.5242993969,-2.41220290883,5.6757715502,5.60482440582,0.0709471443774,5.53387726144,0.141894288755,5.74671869457,9.36502305782,9.36502305782,0.0,9.36502305782,0.0,0.0,2.55409719759,2.27030862008,0.212841433132,0.0709471443774,0.783755975118,0.145448273697
708,GUENIN,NATE,D,5,29.0,6.3125,5.46638888889,42.8070532039,64.0276436811,-21.2205904772,32.5626302149,46.6487118248,-14.0860816098,5.6710198689,5.6710198689,0.0,5.6710198689,0.0,5.6710198689,2.74404187205,2.74404187205,0.0,2.56110574724,0.182936124803,0.0,1.82936124803,0.914680624015,0.182936124803,0.0,-1.34887656288,-0.899289614674
709,HANIFIN,NOAH,D,5,79.0,23.5736111111,19.6019444444,54.0252525968,54.3313446795,-0.306092082702,39.9960321397,42.342738107,-2.34670596738,3.72412033954,3.52005895107,0.204061388468,3.52005895107,0.204061388468,3.72412033954,3.21396686837,3.21396686837,0.0,3.16295152125,0.0510153471169,0.153046041351,3.97919707512,1.98959853756,1.58147576062,0.204061388468,0.342151451265,2.10563279561
728,CAMPBELL,BRIAN,D,51,82.0,30.4383333333,23.235,51.2158381752,46.0512158382,5.16462233699,40.4562083064,36.3675489563,4.08865935012,2.66838820745,2.66838820745,0.0,2.5823111685,0.0860770389499,2.9266193243,0.903808908974,0.903808908974,0.0,0.903808908974,0.0,0.129115558425,2.71142672692,1.42027114267,0.731654831074,0.0,-0.553497008813,-0.899289614674
729,POULIOT,DERRICK,D,51,22.0,5.66611111111,5.11972222222,65.4332374803,46.6822201725,18.7510173078,46.6822201725,33.2049264826,13.47729369,3.51581574521,3.51581574521,0.0,3.51581574521,0.0,3.51581574521,2.73452335739,2.73452335739,0.0,2.73452335739,0.0,0.0,4.10178503608,0.390646193912,1.17193858174,0.0,-2.17327151483,-0.899289614674
730,TYUTIN,FEDOR,D,51,61.0,17.8833333333,15.3597222222,50.5868523375,49.1545347681,1.4323175694,37.3053621485,36.3938873316,0.911474816891,3.51568857944,3.45058323537,0.0651053440637,3.45058323537,0.0651053440637,3.5807939235,7.22669319107,7.22669319107,0.0,7.22669319107,0.0,0.0651053440637,1.4323175694,0.520842752509,0.325526720318,0.0651053440637,-1.9684502674,0.0594243726976
731,GARDINER,JAKE,D,51,79.0,27.1508333333,22.2041666667,61.15969225,53.5034715707,7.6562206793,45.0816288234,42.0641771439,3.01745167949,2.65715894164,2.61212234941,0.0450365922312,2.61212234941,0.0450365922312,2.65715894164,3.6029273785,3.6029273785,0.0,3.6029273785,0.0,0.225182961156,3.91818352411,2.7472321261,1.35109776694,0.0450365922312,1.53403746092,-0.23609964868
736,GUSTAFSSON,ERIK,D,52,41.0,10.5519444444,9.15666666667,61.5944666909,53.5129231889,8.081543502,43.3563887878,40.735347652,2.62104113578,3.93156170368,3.93156170368,0.0,3.93156170368,0.0,3.93156170368,3.16709137241,3.16709137241,0.0,3.16709137241,0.0,0.0,5.46050236622,1.31052056789,0.76447033127,0.0,-0.72615325929,-0.899289614674
737,ERICSSON,JONATHAN,D,52,71.0,21.9325,18.1480555556,49.9227036873,51.4655687019,-1.54286501462,37.3042719606,42.0981739703,-4.7939020097,1.92858126827,1.87347894632,0.0551023219506,1.87347894632,0.0551023219506,1.87347894632,5.73064148286,5.73064148286,0.0,5.67553916091,0.0551023219506,0.165306965852,3.30613931704,2.64491145363,0.495920897556,0.0551023219506,1.37306970571,-0.0878759350371
738,MARINCIN,MARTIN,D,52,65.0,18.1663888889,15.1522222222,58.0772897265,50.4216469898,7.65564273667,40.4561120481,39.8621397668,0.593972281294,2.63987680575,2.57387988561,0.0659969201437,2.57387988561,0.0659969201437,2.70587372589,2.17789836474,2.17789836474,0.0,2.17789836474,0.0,0.0659969201437,3.29984600719,2.37588912517,1.18794456259,0.0659969201437,0.949851999396,0.0725533480692
752,GOSTISBEHERE,SHAYNE,D,53,64.0,21.4277777778,15.8616666667,57.244930125,57.0557948933,0.189135231691,40.790164968,40.2858043501,0.504360617842,3.02616370705,2.90007355259,0.12609015446,2.83702847536,0.189135231691,3.3413890932,1.63917200799,1.57612693076,0.0630450772302,1.51308185353,0.12609015446,0.441315540612,4.22402017442,2.64789324367,1.51308185353,0.189135231691,1.37776056669,1.88583647189
758,MCQUAID,ADAM,D,54,64.0,19.2427777778,16.1386111111,53.4122790409,55.9527702714,-2.54049123049,39.4705588736,40.585896487,-1.11533761338,5.51472486618,5.45276166543,0.0619632007436,5.45276166543,0.0619632007436,5.57668806692,7.80736329369,7.80736329369,0.0,7.80736329369,0.0,0.0619632007436,2.54049123049,1.67300642008,0.433742405205,0.0619632007436,-0.15590159351,0.01315448818
759,PESCE,BRETT,D,54,69.0,21.5769444444,18.4008333333,51.4650604592,50.3781531634,1.08690729587,37.6613378017,39.5090802047,-1.84774240297,3.58679407636,3.58679407636,0.0,3.58679407636,0.0,3.69548480594,1.52167021421,1.52167021421,0.0,1.52167021421,0.0,0.16303609438,3.69548480594,1.03256193107,2.06512386214,0.0,-1.16342929285,-0.899289614674
767,BIEGA,ALEX,D,55,51.0,14.2477777778,12.8475,51.4496983849,57.9100992411,-6.4604008562,37.2056820393,47.6357267951,-10.4300447558,2.72426542129,2.72426542129,0.0,2.72426542129,0.0,2.80210157618,8.9511578128,8.9511578128,0.0,8.9511578128,0.0,0.0,4.74800544853,1.40105078809,0.622689239152,0.0,-0.583733883304,-0.899289614674
768,COBURN,BRAYDON,D,55,80.0,22.3363888889,18.7013888889,52.6698848867,50.6914222057,1.97846268102,39.034533977,39.3018937987,-0.26735982176,3.20831786112,3.20831786112,0.0,3.20831786112,0.0,3.31526178983,5.3471964352,5.3471964352,0.0,5.29372447085,0.053471964352,0.053471964352,4.70553286298,1.3367991088,0.695135536576,0.0,-0.684812661755,-0.899289614674
770,PARAYKO,COLTON,D,55,79.0,25.5161111111,21.0019444444,59.2326107371,48.0907852448,11.1418254923,43.8530823866,35.0443741982,8.8087081884,4.95192244104,4.90430780219,0.0476146388562,4.90430780219,0.0476146388562,5.28522491304,4.47577605248,4.47577605248,0.0,4.47577605248,0.0,0.238073194281,5.80898594046,0.714219582843,1.38082452683,0.0476146388562,-1.66423574715,-0.198136415477
773,BOYCHUK,JOHNNY,D,55,70.0,24.9275,20.2475,54.3770835906,57.4391900235,-3.06210643289,39.7086060007,40.646993456,-0.938387455241,5.38338066428,5.28460303741,0.0987776268675,5.18582541054,0.197555253735,5.43276947771,6.22299049265,6.12421286579,0.0987776268675,6.12421286579,0.0987776268675,0.39511050747,5.92665761205,2.07433016422,0.938387455241,0.197555253735,0.475448657086,2.00982618463
774,SCHULTZ,NICK,D,55,81.0,24.2216666667,19.3066666667,51.2776243094,58.1664364641,-6.8888121547,36.1533149171,40.6595303867,-4.50621546961,6.68162983425,6.68162983425,0.0,6.62983425414,0.0517955801105,6.8888121547,4.19544198895,4.14364640884,0.0517955801105,4.14364640884,0.0517955801105,0.0517955801105,3.05593922652,1.45027624309,0.155386740331,0.0517955801105,-0.506293901729,-0.136569628318
775,KRONWALL,NIKLAS,D,55,64.0,23.4741666667,16.6741666667,52.1165475536,52.8961967115,-0.779649157879,39.3422959668,41.9811085012,-2.63881253436,3.77829976511,3.77829976511,0.0,3.77829976511,0.0,4.01819181368,4.61792193513,4.61792193513,0.0,4.61792193513,0.0,0.119946024289,1.79919036434,1.0795142186,0.359838072867,0.0,-1.08956538888,-0.899289614674
776,RISTOLAINEN,RASMUS,D,55,82.0,34.5502777778,24.8616666667,49.0715291278,59.2478380371,-10.1763089093,36.2807535027,44.7274921231,-8.44673862037,3.90158879131,3.90158879131,0.0,3.90158879131,0.0,4.38425956962,4.70604008849,4.70604008849,0.0,4.70604008849,0.0,0.160890259436,4.70604008849,1.32734464034,0.563115908024,0.0,-0.699686142622,-0.899289614674
795,VAN RIEMSDYK,TREVOR,D,57,82.0,27.3105555556,23.2269444444,53.9029144791,54.5487161702,-0.645801691044,38.5328342323,38.7481014626,-0.215267230348,5.89832211153,5.76916177332,0.129160338209,5.76916177332,0.129160338209,5.9413755576,1.63603095064,1.63603095064,0.0,1.63603095064,0.0,0.0861068921392,2.79847399452,1.50687061244,0.602748244974,0.129160338209,-0.417261369297,1.00267134775
796,MYERS,TYLER,D,57,73.0,27.505,20.7675,55.23052847,50.9449861563,4.28554231371,40.3033586132,38.6180329842,1.68532562899,3.4188034188,3.4188034188,0.0,3.4188034188,0.0,3.7558685446,2.2149993981,2.2149993981,0.0,2.16684723727,0.0481521608282,0.385217286626,3.85217286626,1.63717346816,1.49271698567,0.0,-0.212272898479,-0.899289614674
801,SAVARD,DAVID,D,58,65.0,25.1036111111,18.7438888889,51.9636029521,57.7788316192,-5.81522866712,39.0527282966,42.3604730431,-3.30774474644,4.32140845905,4.32140845905,0.0,4.32140845905,0.0,4.4814606242,5.65517650197,5.65517650197,0.0,5.65517650197,0.0,0.16005216515,4.42810990249,0.586857938884,0.533507217167,0.0,-1.8645971935,-0.899289614674
802,LETANG,KRIS,D,58,71.0,31.8883333333,22.5175,63.2841123571,52.5369157322,10.7471966248,45.7866104141,38.0592872211,7.72732319307,4.57422005107,4.52981014766,0.0444099034085,4.52981014766,0.0444099034085,4.84067947152,5.01831908516,5.01831908516,0.0,5.01831908516,0.0,0.355279227268,5.90651715333,2.26490507383,1.5543466193,0.0444099034085,0.775255281285,-0.245328005411
807,JOSI,ROMAN,D,59,81.0,34.4036111111,24.7436111111,58.2776698811,57.5502093694,0.727460511692,44.1730188489,40.656959709,3.51605913985,5.2942959462,5.2942959462,0.0,5.2942959462,0.0,5.98134198502,2.10155258933,2.10155258933,0.0,2.10155258933,0.0,0.202072364359,4.97098016323,1.25284865903,0.606217093077,0.0,-0.816880943976,-0.899289614674
810,PETROVIC,ALEX,D,6,66.0,18.6511111111,16.0536111111,48.8363642656,52.0132195941,-3.1768553285,37.9976813801,39.368089561,-1.37040818092,3.98664198086,3.98664198086,0.0,3.98664198086,0.0,3.98664198086,9.09452701884,9.09452701884,0.0,9.09452701884,0.0,0.124582561902,3.11456404755,1.24582561902,0.498330247608,0.0,-0.827929375902,-0.899289614674
811,GREENE,ANDY,D,6,82.0,31.3272222222,24.3177777778,37.9146486338,49.2232477383,-11.3085991045,29.2789911359,35.2828292059,-6.00383807,4.35895092753,4.35895092753,0.0,4.31782874897,0.0411221785616,4.72905053459,2.30284199945,2.30284199945,0.0,2.30284199945,0.0,0.0411221785616,2.09723110664,1.02805446404,0.781321392671,0.0,-1.17052030224,-0.899289614674
812,STRALMAN,ANTON,D,6,73.0,26.8325,19.3041666667,57.7077487589,47.347291172,10.3604575869,43.6693287287,35.1737535074,8.49557522124,2.90092812433,2.90092812433,0.0,2.90092812433,0.0,3.10813727606,4.04057845888,3.98877617095,0.0518022879344,3.93697388301,0.103604575869,0.362616015541,4.66220591409,1.08784804662,1.13965033456,0.0518022879344,-1.07645486531,-0.136470851717
813,WIDEMAN,DENNIS,D,6,51.0,17.5188888889,13.0875,50.3533906399,62.4259789876,-12.0725883477,36.9818529131,43.2473734479,-6.26552053486,5.1193887297,5.04297994269,0.0764087870105,4.96657115568,0.152817574021,5.1193887297,2.44508118434,2.44508118434,0.0,2.36867239733,0.0764087870105,0.0,3.43839541547,2.36867239733,0.840496657116,0.0764087870105,0.938498863675,0.225874132152
814,MCILRATH,DYLAN,D,6,34.0,8.00361111111,7.3775,53.8122670281,51.6435106743,2.16875635378,38.7665198238,39.1731616401,-0.406641816333,4.06641816333,4.06641816333,0.0,4.06641816333,0.0,4.33751270756,12.3348017621,12.19925449,0.135547272111,12.19925449,0.135547272111,0.271094544222,3.38868180278,1.62656726533,1.219925449,0.135547272111,-0.228958252659,1.09672265731
815,JOHNSON,ERIK,D,6,73.0,28.5088888889,20.6438888889,50.7171882989,64.0383218063,-13.3211335074,38.9945908125,43.4026749913,-4.4080841788,6.92698942383,6.83010845286,0.0968809709626,6.83010845286,0.0968809709626,7.36295379316,4.89248903361,4.89248903361,0.0,4.89248903361,0.0,0.290642912888,6.15194165613,1.59853602088,1.16257165155,0.0968809709626,-0.273056149847,0.527338925699
816,PATERYN,GREG,D,6,38.0,10.5988888889,9.4,51.2765957447,51.4893617021,-0.212765957447,37.1276595745,36.3829787234,0.744680851064,4.25531914894,4.04255319149,0.212765957447,3.93617021277,0.31914893617,4.14893617021,10.1063829787,10.0,0.106382978723,10.0,0.106382978723,0.0,3.29787234043,2.97872340426,1.17021276596,0.31914893617,1.89821246578,3.80036374807
817,MUZZIN,JAKE,D,6,82.0,31.5166666667,23.5844444444,66.0604918496,48.9729576934,17.0875341562,49.1849618393,36.5495147461,12.6354470932,3.85847545463,3.85847545463,0.0,3.85847545463,0.0,4.45208706304,6.78413266748,6.74173183831,0.0424008291718,6.74173183831,0.0424008291718,0.296805804202,6.36012437577,2.33204560445,0.381607462546,0.0424008291718,0.880878712363,-0.274912789887
818,EDMUNDSON,JOEL,D,6,67.0,16.6661111111,15.1530555556,58.2720756723,50.6828472439,7.58922842844,43.4895785595,38.408095177,5.08148338252,3.36565782479,3.36565782479,0.0,3.36565782479,0.0,3.36565782479,10.2949533464,10.2949533464,0.0,10.2949533464,0.0,0.0659932906821,5.87340287071,1.05589265091,0.461953034775,0.0,-1.12672611734,-0.899289614674
819,SCANDELLA,MARCO,D,6,73.0,25.1722222222,20.9141666667,49.6314300514,55.799497948,-6.16806789656,36.6737060206,40.7379368052,-4.06423078456,3.96860182492,3.9207873451,0.0478144798183,3.9207873451,0.0478144798183,4.06423078456,2.62979639001,2.62979639001,0.0,2.62979639001,0.0,0.143443439455,4.87707694147,1.62569231382,0.860660636729,0.0478144798183,-0.23033469964,-0.195193641294
820,WEBER,MIKE,D,6,45.0,11.6102777778,10.3869444444,49.6777471719,50.0628459872,-0.385098815286,38.4136068248,38.2210574172,0.192549407643,5.10255930254,5.00628459872,0.0962747038216,4.9100098949,0.192549407643,5.00628459872,10.0125691974,10.0125691974,0.0,9.91629449362,0.0962747038216,0.0962747038216,3.65843874522,1.73294466879,0.192549407643,0.0962747038216,-0.0616085722345,0.518411290087
822,WEBER,SHEA,D,6,78.0,32.9805555556,23.6413888889,58.7951920478,55.7073869978,3.08780504999,44.5405303787,39.1685955657,5.371934813,4.82205172191,4.82205172191,0.0,4.82205172191,0.0,5.49883091095,6.17561009999,6.17561009999,0.0,6.13331140067,0.042298699315,0.16919479726,4.61055822533,1.26896097945,0.33838959452,0.0,-0.791533533846,-0.899289614674
823,DALEY,TREVOR,D,6,82.0,25.2030555556,20.7186111111,59.9461032083,50.7756043278,9.1704988805,43.3909394398,38.1299690295,5.26097041039,3.08901014922,3.08901014922,0.0,3.08901014922,0.0,3.28207328355,1.78583399252,1.78583399252,0.0,1.78583399252,0.0,0.241328917908,4.9713757089,1.15837880596,0.675720970142,0.0,-0.965498030003,-0.899289614674
824,WEBER,YANNICK,D,6,45.0,14.1222222222,11.3427777778,49.2824606945,52.7207719058,-3.43831121125,36.7634814125,41.2597345349,-4.4962531224,2.90934025567,2.90934025567,0.0,2.90934025567,0.0,2.90934025567,3.79095851496,3.79095851496,0.0,3.79095851496,0.0,0.0,3.17382573346,1.05794191115,0.881618259294,0.0,-1.12350228375,-0.899289614674
830,BRAUN,JUSTIN,D,61,80.0,27.4125,22.8313888889,52.4278223206,48.7048775443,3.72294477632,38.6748263234,33.5503023372,5.12452398623,4.86172788437,4.81792853406,0.0437993503096,4.77412918375,0.0875987006193,5.16832333654,3.28495127322,3.24115192291,0.0437993503096,3.24115192291,0.0437993503096,0.0875987006193,4.37993503096,1.57677661115,1.27018115898,0.0875987006193,-0.307287388318,0.390652106195
835,SUSTR,ANDREJ,D,62,77.0,21.6066666667,18.6630555556,52.6173218033,52.4029946269,0.214327176388,39.0075461027,40.4542545433,-1.44670844062,2.94699867534,2.89341688124,0.0535817940971,2.89341688124,0.0535817940971,3.00058046944,1.33954485243,1.33954485243,0.0,1.33954485243,0.0,0.214327176388,3.00058046944,1.50029023472,0.696563323262,0.0535817940971,-0.427613418438,-0.110266590403
836,GRYBA,ERIC,D,62,53.0,15.7961111111,13.5066666667,55.0839091807,56.3425468904,-1.25863770977,39.3139190523,41.9052319842,-2.59131293189,4.51628825271,4.44225074038,0.0740375123396,4.2941757157,0.222112537019,4.66436327739,8.73642645607,8.73642645607,0.0,8.66238894373,0.0740375123396,0.0740375123396,4.14610069102,2.51727541955,0.814412635735,0.0740375123396,1.17227659721,0.190955736011
837,TROTMAN,ZACH,D,62,38.0,11.7508333333,10.1180555556,55.3466026081,59.4975978037,-4.15099519561,42.6959505834,46.5504461222,-3.85449553878,4.05216197666,4.05216197666,0.0,4.05216197666,0.0,4.05216197666,6.32532601235,6.32532601235,0.0,6.32532601235,0.0,0.197666437886,5.53466026081,1.48249828415,0.197666437886,0.0,-0.455603171391,-0.899289614674
851,DEKEYSER,DANNY,D,65,78.0,28.3402777778,22.7294444444,48.7913377166,51.2990980862,-2.50776036956,37.3524307677,40.7841028524,-3.43167208467,2.94771832914,2.90372253318,0.0439957959573,2.90372253318,0.0439957959573,3.2996846968,2.81573094127,2.81573094127,0.0,2.81573094127,0.0,0.263974775744,2.55175616552,1.36386967468,0.659936939359,0.0439957959573,-0.642226074745,-0.251425978034
852,KARLSSON,ERIK,D,65,82.0,39.5641666667,28.9327777778,57.9619424336,54.6093434974,3.35259893623,41.5445765088,40.9224447474,0.622131761363,5.11530559343,5.08074271779,0.0345628756313,5.08074271779,0.0345628756313,5.63374872789,2.48852704545,2.48852704545,0.0,2.48852704545,0.0,0.449317383206,5.32268284721,2.48852704545,1.62445515467,0.0345628756313,1.12705053357,-0.39033120599
853,HAINSEY,RON,D,65,81.0,30.1155555556,24.6197222222,55.4027371913,51.99083842,3.41189877131,41.3895815234,39.2774537126,2.11212781081,4.10240209408,3.98054856653,0.121853527547,3.98054856653,0.121853527547,4.26487346414,3.24942740125,3.24942740125,0.0,3.20880955873,0.0406178425156,0.121853527547,4.46796267672,1.74656722817,0.934210377859,0.121853527547,-0.0401779780935,0.895074318883
872,CHIAROT,BEN,D,7,70.0,16.8675,15.6905555556,53.7265871189,55.3199022767,-1.59331515774,40.151541975,40.2790071876,-0.127465212619,5.41727153631,5.35353893,0.0637326063095,5.35353893,0.0637326063095,5.48100414262,7.90284318238,7.83911057607,0.0637326063095,7.77537796976,0.127465212619,0.0637326063095,4.6524802606,2.0394434019,0.892256488333,0.127465212619,0.420565868688,0.977709639361
873,SEABROOK,BRENT,D,7,81.0,30.7977777778,22.9941666667,54.666038488,60.711049904,-6.04501141594,39.7492117566,44.6635016127,-4.91428985612,5.52313992679,5.34918276374,0.173957163049,5.34918276374,0.173957163049,5.78407567137,4.65335411155,4.65335411155,0.0,4.60986482079,0.0434892907621,0.260935744573,4.17497191317,3.08773964411,0.652339361432,0.173957163049,2.069713483,1.66233059971
875,KULIKOV,DMITRY,D,7,74.0,25.9425,20.1866666667,45.5746367239,51.321003963,-5.7463672391,35.1221928666,39.1842800528,-4.06208718626,4.65653896962,4.55746367239,0.0990752972259,4.55746367239,0.0990752972259,4.90422721268,5.44914134742,5.3500660502,0.0990752972259,5.3500660502,0.0990752972259,0.0495376486129,3.76486129458,1.83289299868,1.18890356671,0.198150594452,0.0956270861194,2.0185929223
876,JOHNSON,JACK,D,7,60.0,24.1752777778,17.7080555556,51.2760984486,59.2385762914,-7.96247784279,38.4006023624,43.8218638724,-5.42126150998,3.61417433999,3.55770286593,0.0564714740623,3.55770286593,0.0564714740623,4.12241760655,4.51771792499,4.51771792499,0.0,4.51771792499,0.0,0.169414422187,3.4447599178,1.07295800718,0.395300318436,0.0564714740623,-1.09987942034,-0.0677143753492
877,MERRILL,JON,D,7,47.0,13.2341666667,11.7166666667,42.5035561878,49.4167852063,-6.91322901849,32.347083926,37.0412517781,-4.69416785206,3.92603129445,3.92603129445,0.0,3.92603129445,0.0,3.92603129445,3.84068278805,3.84068278805,0.0,3.66998577525,0.170697012802,0.0853485064011,2.21906116643,1.28022759602,0.597439544808,0.0,-0.773809236949,-0.899289614674
878,MARTIN,PAUL,D,7,78.0,26.9502777778,22.7580555556,56.9468686302,53.3876893408,3.55917928938,42.4904490473,38.0085195718,4.48192947552,4.2182865652,4.2182865652,0.0,4.2182865652,0.0,4.43798899047,2.15308376765,2.1091432826,0.0439404850541,2.1091432826,0.0439404850541,0.0439404850541,1.75761940217,1.93338134238,1.14245261141,0.0439404850541,0.253712277701,-0.252240463193
879,MURPHY,RYAN,D,7,35.0,10.0633333333,8.68138888889,53.7932358494,49.7616228842,4.03161296516,39.7401849422,37.7819729306,1.95821201165,2.41896777909,2.41896777909,0.0,2.41896777909,0.0,2.41896777909,2.76453460468,2.76453460468,0.0,2.76453460468,0.0,0.0,4.03161296516,1.84302306979,1.26707836048,0.0,0.111563404428,-0.899289614674
880,BRODIE,TJ,D,7,70.0,29.4461111111,22.2216666667,54.1813545339,55.3063826596,-1.1250281257,39.1059776494,40.4560114003,-1.35003375084,3.64509112728,3.60009000225,0.0450011250281,3.60009000225,0.0450011250281,3.96009900248,0.675016875422,0.675016875422,0.0,0.675016875422,0.0,0.135003375084,2.52006300158,2.92507312683,1.35003375084,0.0450011250281,1.81381148878,-0.236621923835
903,EMELIN,ALEXEI,D,74,72.0,24.5958333333,20.7913888889,55.599941215,51.7040975831,3.89584363185,40.8823097169,37.9003059493,2.98200376759,4.28061831153,4.23252147657,0.0480968349611,4.23252147657,0.0480968349611,4.61729615626,11.2065625459,11.2065625459,0.0,11.158465711,0.0480968349611,0.0,2.93390693262,3.03010060255,0.577162019533,0.0480968349611,1.97903750414,-0.1910357979
904,DEMELO,DYLAN,D,74,45.0,10.2136111111,9.18222222222,51.839303001,46.7207163601,5.11858664085,38.9883833495,32.8896418199,6.09874152953,3.81171345595,3.81171345595,0.0,3.81171345595,0.0,3.81171345595,4.02952565344,4.02952565344,0.0,4.02952565344,0.0,0.0,3.59390125847,2.06921587609,0.762342691191,0.0,0.467403015285,-0.899289614674
905,SLAVIN,JACCOB,D,74,63.0,22.0163888889,17.9336111111,55.5381732005,53.6422917861,1.89588141448,41.9324359908,39.5904648317,2.34197115906,4.90698719041,4.90698719041,0.0,4.85122597234,0.0557612180728,5.29731571692,1.8401201964,1.8401201964,0.0,1.8401201964,0.0,0.111522436146,3.84752404703,1.2267467976,2.34197115906,0.0,-0.857943594744,-0.899289614674
906,CARLSON,JOHN,D,74,56.0,22.1213888889,15.9277777778,57.8862922916,56.7561911406,1.13010115103,42.7554935473,40.7464248343,2.00906871294,5.21102197419,5.14823857691,0.0627833972794,5.02267178235,0.188350191838,5.7760725497,2.63690268573,2.63690268573,0.0,2.63690268573,0.0,0.313916986397,4.95988838507,2.32298569934,1.19288454831,0.0627833972794,0.866625946498,0.0252323583242
907,BOROWIECKI,MARK,D,74,63.0,15.3583333333,12.5172222222,49.5317562469,60.4766765789,-10.944920332,36.3499178909,45.5372597754,-9.18734188451,4.55372597754,4.55372597754,0.0,4.55372597754,0.0,4.87328569526,19.6529226399,19.6529226399,0.0,19.6529226399,0.0,0.0,1.99724823576,1.43801872975,0.0798899294306,0.0,-0.525577047156,-0.899289614674
914,SUBBAN,P.K.,D,76,68.0,29.86,20.5777777778,60.5507559395,54.7678185745,5.78293736501,44.0280777538,41.4524838013,2.57559395248,3.06155507559,3.06155507559,0.0,3.06155507559,0.0,3.35313174946,4.4222462203,4.37365010799,0.048596112311,4.32505399568,0.097192224622,0.194384449244,4.66522678186,3.83909287257,0.777537796976,0.048596112311,3.25171942209,-0.183683649073
918,KLEFBOM,OSCAR,D,77,30.0,10.9380555556,8.22611111111,53.6097791585,52.1510096576,1.45876950091,39.99459715,37.5633146485,2.43128250152,4.61943675289,4.61943675289,0.0,4.61943675289,0.0,5.34882150334,2.43128250152,2.43128250152,0.0,2.43128250152,0.0,0.486256500304,3.76848787736,2.79597487675,0.850948875532,0.0,1.61071806675,-0.899289614674
919,GILBERT,TOM,D,77,45.0,12.6452777778,10.8761111111,52.5923277315,54.3392756806,-1.74694794912,39.2603565408,38.8006333963,0.459723144506,6.16029013638,5.88445624968,0.275833886704,5.79251162078,0.367778515605,6.34417939419,2.57444960924,2.57444960924,0.0,2.57444960924,0.0,0.0919446289013,2.85028349594,3.40195126935,0.183889257803,0.275833886704,2.56402161011,3.1625244987
920,HEDMAN,VICTOR,D,77,78.0,29.9861111111,22.0619444444,63.1857270564,48.1825163995,15.0032106569,46.369439583,36.4428440124,9.92659557055,4.35138435969,4.35138435969,0.0,4.35138435969,0.0,5.12194200672,2.58363446357,2.58363446357,0.0,2.58363446357,0.0,0.317288442894,5.57521121086,1.76774989613,1.76774989613,0.0,-0.00685405216844,-0.899289614674
923,MARKOV,ANDREI,D,79,82.0,32.5522222222,23.1755555556,57.5174992809,55.8778406367,1.63965864417,41.9407421613,42.0701888963,-0.129446735066,4.9189759325,4.9189759325,0.0,4.87582702081,0.0431489116886,5.22101831432,1.8985521143,1.81225429092,0.0862978233771,1.81225429092,0.0862978233771,0.0431489116886,3.10672164158,2.89097708313,1.16502061559,0.0862978233771,1.76017263475,0.371495933598
928,DUMOULIN,BRIAN,D,8,79.0,24.8697222222,21.4708333333,55.8897729478,49.5090238696,6.38074907821,42.5693770619,37.8187463613,4.75063070056,2.60818940423,2.56161459344,0.0465748107898,2.56161459344,0.0465748107898,2.65476421502,3.39996118766,3.39996118766,0.0,3.39996118766,0.0,0.0,4.14515816029,1.49039394527,1.25751989133,0.0465748107898,-0.443181958579,-0.213448487412
929,TANEV,CHRISTOPHER,D,8,69.0,25.0166666667,19.2688888889,49.6655518395,50.8591857917,-1.19363395225,37.6773151886,35.134355899,2.54295928959,6.4352439165,6.4352439165,0.0,6.4352439165,0.0,6.6947295583,0.830354053742,0.830354053742,0.0,0.830354053742,0.0,0.0518971283589,1.60881097913,1.60881097913,0.570868411948,0.0,-0.256891899523,-0.899289614674
930,SCHLEMKO,DAVID,D,8,67.0,20.8030555556,15.9394444444,44.7317974278,46.4884458541,-1.75664842634,34.0664319822,35.3211808581,-1.25474887595,3.76424662786,3.76424662786,0.0,3.76424662786,0.0,4.26614617824,2.50949775191,2.50949775191,0.0,2.50949775191,0.0,0.313687218989,4.20340873445,1.38022376355,0.627374437977,0.0,-0.616498321879,-0.899289614674
931,DOUGHTY,DREW,D,8,82.0,38.2911111111,28.2488888889,63.082127124,43.895531781,19.186595343,47.8956891126,33.9128382631,13.9828508496,2.6549716803,2.6195720579,0.035399622404,2.6195720579,0.035399622404,2.86736941473,3.75235997483,3.71696035242,0.035399622404,3.71696035242,0.035399622404,0.141598489616,4.4249528005,2.15937696665,0.318596601636,0.0707992448081,0.609241687798,0.143270366677
