last,first,pos,num,comb,takeaways,oz_take,nz_take,dz_take,p1_take,p2_take,p3_take,ot_take,5v5_take,ev_take,pp_take,sh_take
POIRIER,EMILE,R,28,EMILE POIRIER,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
BJORKSTRAND,OLIVER,R,28,OLIVER BJORKSTRAND,6.0,3.0,2.0,1.0,0.0,5.0,1.0,0.0,6.0,6.0,0.0,0.0
NELSON,BROCK,C,29,BROCK NELSON,48.0,18.0,10.0,20.0,22.0,10.0,16.0,0.0,40.0,42.0,2.0,4.0
FERRARO,LANDON,C,29,LANDON FERRARO,16.0,6.0,2.0,8.0,7.0,8.0,1.0,0.0,14.0,14.0,0.0,2.0
DRAISAITL,LEON,C,29,LEON DRAISAITL,40.0,11.0,8.0,21.0,16.0,10.0,12.0,2.0,37.0,39.0,1.0,0.0
MACKINNON,NATHAN,C,29,NATHAN MACKINNON,28.0,8.0,6.0,14.0,10.0,9.0,9.0,0.0,25.0,27.0,1.0,0.0
PEDAN,ANDREY,D,29,ANDREY PEDAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOLOUBEF,CODY,D,29,CODY GOLOUBEF,3.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0
ENGELLAND,DERYK,D,29,DERYK ENGELLAND,8.0,0.0,0.0,8.0,4.0,3.0,1.0,0.0,8.0,8.0,0.0,0.0
MCCABE,JAKE,D,29,JAKE MCCABE,17.0,2.0,2.0,13.0,5.0,8.0,3.0,1.0,14.0,16.0,0.0,1.0
VALIEV,RINAT,D,29,RINAT VALIEV,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
KOEKKOEK,SLATER,D,29,SLATER KOEKKOEK,3.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0
BRENNAN,TJ,D,29,TJ BRENNAN,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
LINDBACK,ANDERS,G,29,ANDERS LINDBACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLEURY,MARC-ANDRE,G,29,MARC-ANDRE FLEURY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O'CONNOR,MATTHEW,G,29,MATTHEW O'CONNOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMERY,RAY,G,29,RAY EMERY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BICKELL,BRYAN,L,29,BRYAN BICKELL,4.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0
STEWART,CHRIS,R,29,CHRIS STEWART,12.0,5.0,4.0,3.0,1.0,8.0,3.0,0.0,12.0,12.0,0.0,0.0
POMINVILLE,JASON,R,29,JASON POMINVILLE,21.0,9.0,4.0,8.0,9.0,5.0,7.0,0.0,21.0,21.0,0.0,0.0
HAVLAT,MARTIN,R,29,MARTIN HAVLAT,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0
COYLE,CHARLIE,C,3,CHARLIE COYLE,36.0,12.0,13.0,11.0,16.0,9.0,10.0,1.0,33.0,34.0,2.0,0.0
MCNABB,BRAYDEN,D,3,BRAYDEN MCNABB,19.0,2.0,3.0,14.0,5.0,8.0,6.0,0.0,16.0,16.0,1.0,2.0
