last,first,pos,num,comb,shots,oz_shot,nz_shot,dz_shot,p1_shot,p2_shot,p3_shot,ot_shot,5v5_shot,ev_shot,pp_shot,sh_shot,shot_for_oi,shot_for_oi_5v5,shot_against_oi,shot_against_oi_5v5,shot_wrist,shot_slap,shot_snap,shot_back,shot_deflect,shot_tip,shot_wrap,shot_other
BEAGLE,JAY,C,83,JAY BEAGLE,66.0,64.0,1.0,1.0,18.0,32.0,15.0,1.0,58.0,59.0,0.0,7.0,315.0,299.0,388.0,297.0,33.0,3.0,4.0,18.0,1.0,6.0,0.0,1.0
NIETO,MATT,L,83,MATT NIETO,82.0,81.0,1.0,0.0,25.0,34.0,23.0,0.0,78.0,78.0,1.0,3.0,379.0,365.0,402.0,339.0,45.0,6.0,9.0,15.0,2.0,4.0,0.0,1.0
NOSEK,TOMAS,L,83,TOMAS NOSEK,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,15.0,15.0,18.0,14.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
HEMSKY,ALES,R,83,ALES HEMSKY,142.0,139.0,3.0,0.0,41.0,59.0,42.0,0.0,118.0,123.0,19.0,0.0,502.0,412.0,374.0,342.0,110.0,12.0,5.0,11.0,0.0,1.0,0.0,3.0
GRABOVSKI,MIKHAIL,C,84,MIKHAIL GRABOVSKI,74.0,72.0,2.0,0.0,25.0,22.0,27.0,0.0,63.0,67.0,7.0,0.0,387.0,330.0,366.0,344.0,40.0,6.0,10.0,9.0,0.0,7.0,0.0,2.0
PERREAULT,MATHIEU,C,85,MATHIEU PERREAULT,124.0,117.0,6.0,1.0,38.0,40.0,43.0,3.0,93.0,102.0,21.0,1.0,649.0,463.0,394.0,358.0,76.0,14.0,9.0,18.0,5.0,2.0,0.0,0.0
ELLIS,MORGAN,D,85,MORGAN ELLIS,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,9.0,9.0,13.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
MILLER,KEVAN,D,86,KEVAN MILLER,59.0,57.0,1.0,1.0,15.0,25.0,19.0,0.0,56.0,56.0,0.0,3.0,559.0,521.0,627.0,498.0,32.0,20.0,6.0,0.0,0.0,0.0,0.0,1.0
NIKITIN,NIKITA,D,86,NIKITA NIKITIN,12.0,11.0,1.0,0.0,7.0,1.0,4.0,0.0,11.0,12.0,0.0,0.0,83.0,80.0,76.0,73.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
BRICKLEY,CONNOR,L,86,CONNOR BRICKLEY,12.0,12.0,0.0,0.0,2.0,7.0,2.0,1.0,10.0,11.0,1.0,0.0,71.0,68.0,89.0,87.0,7.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
KULEMIN,NIKOLAY,L,86,NIKOLAY KULEMIN,83.0,81.0,2.0,0.0,30.0,23.0,30.0,0.0,75.0,76.0,0.0,7.0,446.0,402.0,586.0,458.0,49.0,2.0,14.0,9.0,0.0,8.0,0.0,1.0
TERAVAINEN,TEUVO,L,86,TEUVO TERAVAINEN,123.0,122.0,1.0,0.0,31.0,49.0,42.0,1.0,99.0,104.0,17.0,2.0,554.0,446.0,502.0,397.0,79.0,19.0,13.0,9.0,0.0,3.0,0.0,0.0
KUCHEROV,NIKITA,R,86,NIKITA KUCHEROV,182.0,181.0,1.0,0.0,52.0,64.0,59.0,7.0,119.0,135.0,47.0,0.0,713.0,496.0,532.0,457.0,106.0,22.0,25.0,14.0,2.0,11.0,0.0,2.0
CROSBY,SIDNEY,C,87,SIDNEY CROSBY,216.0,207.0,9.0,0.0,73.0,63.0,65.0,15.0,140.0,160.0,52.0,4.0,970.0,637.0,652.0,532.0,105.0,23.0,41.0,30.0,1.0,16.0,0.0,0.0
DAVIDSON,BRANDON,D,88,BRANDON DAVIDSON,59.0,54.0,4.0,1.0,23.0,19.0,17.0,0.0,51.0,53.0,5.0,1.0,394.0,350.0,470.0,334.0,21.0,27.0,10.0,1.0,0.0,0.0,0.0,0.0
BURNS,BRENT,D,88,BRENT BURNS,326.0,312.0,10.0,4.0,107.0,110.0,100.0,9.0,219.0,237.0,84.0,5.0,1116.0,751.0,868.0,647.0,127.0,121.0,67.0,9.0,1.0,1.0,0.0,0.0
SCHMIDT,NATE,D,88,NATE SCHMIDT,78.0,75.0,1.0,2.0,28.0,28.0,21.0,1.0,72.0,75.0,1.0,2.0,563.0,534.0,593.0,500.0,41.0,26.0,6.0,4.0,0.0,1.0,0.0,0.0
TRYAMKIN,NIKITA,D,88,NIKITA TRYAMKIN,10.0,8.0,2.0,0.0,5.0,2.0,3.0,0.0,10.0,10.0,0.0,0.0,86.0,82.0,137.0,121.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
VASILEVSKIY,ANDREI,G,88,ANDREI VASILEVSKIY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,459.0,588.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCGINN,JAMIE,L,88,JAMIE MCGINN,134.0,133.0,0.0,1.0,41.0,45.0,48.0,0.0,107.0,113.0,21.0,0.0,570.0,389.0,443.0,410.0,69.0,14.0,19.0,14.0,2.0,14.0,0.0,2.0
PASTRNAK,DAVID,R,88,DAVID PASTRNAK,94.0,88.0,6.0,0.0,42.0,28.0,23.0,1.0,83.0,89.0,4.0,1.0,334.0,302.0,320.0,310.0,54.0,14.0,3.0,14.0,0.0,8.0,0.0,1.0
KANE,PATRICK,R,88,PATRICK KANE,242.0,238.0,4.0,0.0,64.0,85.0,81.0,12.0,162.0,187.0,54.0,1.0,842.0,598.0,677.0,604.0,157.0,26.0,29.0,24.0,1.0,5.0,0.0,0.0
GOODROW,BARCLAY,C,89,BARCLAY GOODROW,7.0,7.0,0.0,0.0,1.0,2.0,4.0,0.0,7.0,7.0,0.0,0.0,54.0,51.0,73.0,58.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
GAGNER,SAM,C,89,SAM GAGNER,82.0,73.0,7.0,2.0,26.0,25.0,28.0,3.0,65.0,67.0,15.0,0.0,340.0,276.0,312.0,286.0,39.0,13.0,13.0,11.0,0.0,4.0,0.0,2.0
NESTEROV,NIKITA,D,89,NIKITA NESTEROV,54.0,53.0,1.0,0.0,29.0,12.0,12.0,1.0,45.0,49.0,5.0,0.0,373.0,316.0,378.0,357.0,23.0,20.0,5.0,4.0,0.0,0.0,0.0,2.0
JOHNSTON,RYAN,D,89,RYAN JOHNSTON,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,26.0,24.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCCORMICK,MAX,L,89,MAX MCCORMICK,35.0,33.0,2.0,0.0,8.0,14.0,13.0,0.0,34.0,34.0,0.0,1.0,103.0,101.0,84.0,76.0,21.0,2.0,9.0,2.0,0.0,1.0,0.0,0.0
BOEDKER,MIKKEL,L,89,MIKKEL BOEDKER,150.0,149.0,1.0,0.0,48.0,59.0,39.0,4.0,97.0,104.0,46.0,0.0,747.0,460.0,629.0,549.0,103.0,17.0,13.0,11.0,1.0,4.0,0.0,1.0
COPP,ANDREW,C,9,ANDREW COPP,48.0,48.0,0.0,0.0,19.0,17.0,12.0,0.0,44.0,44.0,0.0,4.0,218.0,203.0,275.0,229.0,28.0,2.0,2.0,7.0,6.0,3.0,0.0,0.0
ZUBRUS,DAINIUS,C,9,DAINIUS ZUBRUS,30.0,30.0,0.0,0.0,9.0,15.0,6.0,0.0,30.0,30.0,0.0,0.0,207.0,206.0,243.0,203.0,16.0,4.0,2.0,4.0,1.0,3.0,0.0,0.0
CAMPBELL,GREGORY,C,9,GREGORY CAMPBELL,55.0,54.0,0.0,1.0,23.0,18.0,14.0,0.0,50.0,50.0,0.0,5.0,284.0,263.0,504.0,355.0,20.0,5.0,13.0,6.0,5.0,5.0,0.0,1.0
TLUSTY,JIRI,C,9,JIRI TLUSTY,36.0,36.0,0.0,0.0,18.0,13.0,5.0,0.0,33.0,33.0,2.0,1.0,162.0,144.0,158.0,141.0,11.0,2.0,19.0,1.0,1.0,2.0,0.0,0.0
DUCHENE,MATT,C,9,MATT DUCHENE,172.0,171.0,1.0,0.0,57.0,47.0,59.0,9.0,123.0,141.0,28.0,3.0,736.0,497.0,661.0,593.0,118.0,3.0,20.0,15.0,2.0,12.0,0.0,2.0
KOIVU,MIKKO,C,9,MIKKO KOIVU,125.0,124.0,1.0,0.0,42.0,41.0,40.0,2.0,94.0,100.0,24.0,1.0,787.0,494.0,604.0,461.0,74.0,17.0,14.0,12.0,0.0,7.0,0.0,1.0
OTT,STEVE,C,9,STEVE OTT,21.0,21.0,0.0,0.0,4.0,8.0,9.0,0.0,18.0,18.0,0.0,3.0,73.0,69.0,96.0,70.0,12.0,4.0,0.0,3.0,0.0,2.0,0.0,0.0
JOHNSON,TYLER,C,9,TYLER JOHNSON,153.0,151.0,2.0,0.0,59.0,40.0,52.0,2.0,114.0,123.0,27.0,3.0,595.0,411.0,486.0,403.0,97.0,13.0,18.0,12.0,0.0,11.0,0.0,2.0
ORLOV,DMITRY,D,9,DMITRY ORLOV,82.0,74.0,8.0,0.0,27.0,22.0,30.0,3.0,74.0,78.0,4.0,0.0,598.0,545.0,535.0,503.0,37.0,32.0,9.0,4.0,0.0,0.0,0.0,0.0
PRUST,BRANDON,L,9,BRANDON PRUST,18.0,16.0,1.0,1.0,8.0,6.0,4.0,0.0,16.0,16.0,0.0,2.0,157.0,153.0,214.0,200.0,11.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0
KANE,EVANDER,L,9,EVANDER KANE,255.0,246.0,6.0,3.0,74.0,79.0,92.0,10.0,189.0,206.0,43.0,6.0,723.0,530.0,581.0,490.0,154.0,19.0,43.0,20.0,4.0,6.0,0.0,9.0
FORSBERG,FILIP,L,9,FILIP FORSBERG,216.0,214.0,1.0,1.0,74.0,64.0,71.0,7.0,149.0,167.0,44.0,5.0,799.0,565.0,639.0,472.0,127.0,18.0,43.0,17.0,2.0,7.0,0.0,2.0
DUPUIS,PASCAL,L,9,PASCAL DUPUIS,26.0,24.0,2.0,0.0,11.0,9.0,6.0,0.0,23.0,23.0,2.0,1.0,94.0,85.0,162.0,116.0,12.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0
SPEZZA,JASON,C,90,JASON SPEZZA,169.0,164.0,4.0,1.0,46.0,63.0,60.0,0.0,138.0,143.0,26.0,0.0,748.0,519.0,471.0,426.0,102.0,24.0,19.0,10.0,2.0,7.0,0.0,5.0
O'REILLY,RYAN,C,90,RYAN O'REILLY,140.0,135.0,4.0,1.0,39.0,49.0,41.0,11.0,85.0,97.0,39.0,4.0,749.0,471.0,652.0,475.0,61.0,36.0,17.0,17.0,4.0,5.0,0.0,0.0
NAMESTNIKOV,VLADISLAV,C,90,VLADISLAV NAMESTNIKOV,92.0,90.0,2.0,0.0,34.0,37.0,21.0,0.0,79.0,83.0,9.0,0.0,542.0,436.0,415.0,384.0,63.0,5.0,4.0,8.0,1.0,8.0,0.0,3.0
JOHANSSON,MARCUS,L,90,MARCUS JOHANSSON,115.0,115.0,0.0,0.0,32.0,41.0,41.0,1.0,88.0,93.0,22.0,0.0,626.0,427.0,451.0,409.0,69.0,10.0,16.0,6.0,2.0,10.0,0.0,2.0
CHIASSON,ALEX,R,90,ALEX CHIASSON,81.0,79.0,2.0,0.0,34.0,21.0,25.0,1.0,68.0,72.0,8.0,1.0,377.0,299.0,527.0,423.0,55.0,4.0,6.0,7.0,1.0,8.0,0.0,0.0
MCCANN,JARED,C,91,JARED MCCANN,98.0,96.0,2.0,0.0,26.0,36.0,33.0,3.0,83.0,90.0,8.0,0.0,400.0,333.0,415.0,385.0,56.0,8.0,13.0,12.0,3.0,5.0,0.0,1.0
TAVARES,JOHN,C,91,JOHN TAVARES,221.0,217.0,0.0,4.0,73.0,64.0,69.0,15.0,139.0,162.0,59.0,0.0,806.0,566.0,658.0,579.0,130.0,23.0,23.0,24.0,2.0,17.0,0.0,2.0
STAMKOS,STEVEN,C,91,STEVEN STAMKOS,180.0,178.0,2.0,0.0,47.0,65.0,64.0,4.0,103.0,118.0,60.0,2.0,696.0,469.0,603.0,499.0,74.0,57.0,25.0,14.0,1.0,9.0,0.0,0.0
SEGUIN,TYLER,C,91,TYLER SEGUIN,246.0,242.0,4.0,0.0,86.0,76.0,72.0,12.0,142.0,159.0,87.0,0.0,820.0,548.0,521.0,445.0,129.0,72.0,32.0,8.0,0.0,4.0,0.0,1.0
TARASENKO,VLADIMIR,R,91,VLADIMIR TARASENKO,259.0,256.0,1.0,2.0,83.0,83.0,74.0,19.0,187.0,218.0,39.0,2.0,794.0,569.0,630.0,513.0,190.0,9.0,29.0,20.0,1.0,7.0,0.0,3.0
KUZNETSOV,EVGENY,C,92,EVGENY KUZNETSOV,176.0,172.0,4.0,0.0,50.0,62.0,57.0,7.0,131.0,142.0,33.0,1.0,761.0,579.0,549.0,489.0,113.0,13.0,23.0,16.0,1.0,8.0,0.0,2.0
RAU,KYLE,C,92,KYLE RAU,15.0,15.0,0.0,0.0,11.0,1.0,3.0,0.0,15.0,15.0,0.0,0.0,50.0,47.0,48.0,48.0,9.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0
LANDESKOG,GABRIEL,L,92,GABRIEL LANDESKOG,151.0,145.0,5.0,1.0,49.0,54.0,46.0,2.0,108.0,119.0,22.0,10.0,674.0,467.0,617.0,481.0,99.0,19.0,17.0,10.0,1.0,3.0,0.0,2.0
FRANZEN,JOHAN,C,93,JOHAN FRANZEN,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,7.0,7.0,11.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
ZIBANEJAD,MIKA,C,93,MIKA ZIBANEJAD,167.0,164.0,2.0,1.0,52.0,61.0,48.0,6.0,107.0,124.0,36.0,7.0,693.0,473.0,690.0,547.0,85.0,37.0,21.0,15.0,3.0,4.0,0.0,2.0
NUGENT-HOPKINS,RYAN,C,93,RYAN NUGENT-HOPKINS,98.0,98.0,0.0,0.0,26.0,30.0,37.0,5.0,68.0,76.0,19.0,3.0,489.0,344.0,474.0,401.0,52.0,5.0,30.0,7.0,2.0,2.0,0.0,0.0
BENNETT,SAM,C,93,SAM BENNETT,119.0,117.0,2.0,0.0,32.0,45.0,41.0,1.0,92.0,96.0,23.0,0.0,543.0,415.0,473.0,441.0,83.0,0.0,5.0,15.0,0.0,12.0,0.0,4.0
YANDLE,KEITH,D,93,KEITH YANDLE,155.0,143.0,11.0,1.0,47.0,53.0,52.0,3.0,93.0,106.0,49.0,0.0,787.0,572.0,664.0,603.0,60.0,67.0,24.0,1.0,0.0,3.0,0.0,0.0
VORACEK,JAKUB,R,93,JAKUB VORACEK,205.0,199.0,6.0,0.0,52.0,85.0,57.0,11.0,111.0,130.0,74.0,1.0,791.0,470.0,542.0,470.0,84.0,40.0,57.0,12.0,2.0,2.0,0.0,8.0
RANTANEN,MIKKO,R,96,MIKKO RANTANEN,9.0,9.0,0.0,0.0,5.0,3.0,1.0,0.0,9.0,9.0,0.0,0.0,38.0,37.0,41.0,41.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MCDAVID,CONNOR,C,97,CONNOR MCDAVID,91.0,91.0,0.0,0.0,33.0,26.0,30.0,2.0,64.0,71.0,15.0,5.0,478.0,318.0,328.0,283.0,58.0,0.0,13.0,16.0,1.0,2.0,0.0,1.0
