last,first,pos,num,comb,goals,assists,prim_assist,sec_assist,oz_goal,nz_goal,dz_goal,p1_goal,p2_goal,p3_goal,ot_goal,5v5_goal,ev_goal,pp_goal,sh_goal,goal_for_oi,goal_for_oi_5v5,goal_against_oi,goal_against_oi_5v5,p1_assist,p2_assist,p3_assist,ot_assist,5v5_assist,ev_assist,pp_assist,sh_assist,goal_wrist,goal_slap,goal_snap,goal_back,goal_deflect,goal_tip,goal_wrap,goal_noshot,goal_other
DANIS,YANN,G,40,YANN DANIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANGUAY,ALEX,L,40,ALEX TANGUAY,8.0,27.0,16.0,11.0,8.0,0.0,0.0,2.0,3.0,3.0,0.0,7.0,7.0,1.0,0.0,64.0,40.0,43.0,29.0,9.0,10.0,8.0,0.0,18.0,18.0,8.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
ZETTERBERG,HENRIK,L,40,HENRIK ZETTERBERG,13.0,37.0,21.0,16.0,13.0,0.0,0.0,3.0,2.0,8.0,0.0,9.0,11.0,2.0,0.0,83.0,38.0,65.0,45.0,9.0,16.0,11.0,1.0,13.0,17.0,20.0,0.0,6.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0
ZALEWSKI,MICHAEL,L,40,MICHAEL ZALEWSKI,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOLL,JARED,R,40,JARED BOLL,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,8.0,7.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMIA,JOEL,R,40,JOEL ARMIA,4.0,6.0,3.0,3.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0,4.0,0.0,0.0,18.0,14.0,20.0,16.0,2.0,2.0,2.0,0.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GRABNER,MICHAEL,R,40,MICHAEL GRABNER,9.0,9.0,5.0,4.0,9.0,0.0,0.0,2.0,3.0,4.0,0.0,6.0,8.0,0.0,1.0,29.0,22.0,55.0,32.0,2.0,2.0,5.0,0.0,7.0,9.0,0.0,0.0,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0
WENNBERG,ALEXANDER,C,41,ALEXANDER WENNBERG,11.0,32.0,23.0,9.0,11.0,0.0,0.0,3.0,2.0,3.0,3.0,6.0,10.0,1.0,0.0,61.0,36.0,49.0,32.0,5.0,13.0,14.0,0.0,16.0,21.0,11.0,0.0,4.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0
MCKEGG,GREG,C,41,GREG MCKEGG,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
KEMPPAINEN,JOONAS,C,41,JOONAS KEMPPAINEN,2.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,14.0,12.0,28.0,18.0,2.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLENDENING,LUKE,C,41,LUKE GLENDENING,8.0,13.0,6.0,7.0,8.0,0.0,0.0,2.0,1.0,5.0,0.0,5.0,8.0,0.0,0.0,38.0,28.0,60.0,30.0,1.0,6.0,6.0,0.0,11.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MCNEILL,MARK,C,41,MARK MCNEILL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUELLER,MIRCO,D,41,MIRCO MUELLER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BORTUZZO,ROBERT,D,41,ROBERT BORTUZZO,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,14.0,14.0,15.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDERSON,CRAIG,G,41,CRAIG ANDERSON,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,115.0,161.0,112.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HALAK,JAROSLAV,G,41,JAROSLAV HALAK,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,50.0,80.0,63.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMITH,MIKE,G,41,MIKE SMITH,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,48.0,77.0,44.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
